Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
254,-1,100,0.0,3.8025,Orbicella_franksi,born,none
28,28,-1,0.3625,0.0,Orbicella_annularis,dead,none
40,40,-1,4.16,0.0,Montastrea_cavernosa,dead,none
140,140,-1,5.0725,0.0,Orbicella_franksi,dead,none
237,237,-1,0.9475,0.0,Porites_porites,dead,none
1,1,1,0.2875,0.6625,Orbicella_annularis,grow,n/s
2,2,2,0.32,0.4775,Orbicella_annularis,grow,n/s
3,3,3,0.645,0.7325,Orbicella_annularis,grow,n/s
6,6,6,1.53,2.025,Orbicella_annularis,grow,n/s
8,8,8,1.5525,2.485,Orbicella_annularis,grow,n/s
10,10,10,0.63,0.935,Orbicella_annularis,grow,n/s
11,11,11,0.56,0.865,Orbicella_annularis,grow,n/s
12,12,12,0.47,0.9875,Orbicella_annularis,grow,n/s
13,13,13,0.88,1.6125,Orbicella_annularis,grow,n/s
14,14,14,0.6275,1.39,Orbicella_annularis,grow,n/s
16,16,16,0.82,1.4925,Orbicella_annularis,grow,n/s
17,17,17,0.405,0.53,Orbicella_annularis,grow,n/s
18,18,18,0.605,0.9525,Orbicella_annularis,grow,n/s
19,19,19,0.5375,0.6075,Orbicella_annularis,grow,n/s
21,21,21,0.435,0.5975,Orbicella_annularis,grow,n/s
22,22,22,0.255,0.5475,Orbicella_annularis,grow,n/s
25,25,25,0.5,0.615,Orbicella_annularis,grow,n/s
26,26,26,0.2325,0.67,Orbicella_annularis,grow,n/s
29,29,29,15.4375,16.5625,Orbicella_annularis,grow,n/s
33,33,36,12.8225,14.245,Orbicella_annularis,grow,n/s
43,43,42,4.94,5.3275,Montastrea_cavernosa,grow,n/s
52,52,52,3.6775,4.2075,Montastrea_cavernosa,grow,n/s
60,60,59,1.7975,2.045,Orbicella_franksi,grow,n/s
90,90,90,2.5875,2.74,Montastrea_cavernosa,grow,n/s
99,99,99,2.15,3.955,Orbicella_franksi,grow,n/s
113,113,110,2.695,3.265,Orbicella_franksi,grow,n/s
133,133,135,9.6,10.3175,Montastrea_cavernosa,grow,n/s
150,150,149,23.3375,25.0675,Orbicella_annularis,grow,n/s
168,168,168,1.605,1.845,Orbicella_franksi,grow,n/s
169,169,169,4.2175,4.85,Orbicella_franksi,grow,n/s
170,170,170,4.13,4.9825,Orbicella_franksi,grow,n/s
172,172,172,5.7625,6.5075,Orbicella_franksi,grow,n/s
173,173,173,8.285,9.26,Orbicella_franksi,grow,n/s
178,178,178,5.8225,6.6775,Orbicella_franksi,grow,n/s
184,184,184,5.84,6.7725,Porites_porites,grow,n/s
185,185,185,16.0625,18.0425,Orbicella_franksi,grow,n/s
186,186,186,15.04,19.065,Orbicella_annularis,grow,n/s
227,227,227,6.0775,6.4175,Porites_porites,grow,n/s
235,235,235,30.18,32.905,Orbicella_franksi,grow,n/s
238,238,237,21.0625,22.26,Orbicella_franksi,grow,n/s
241,241,240,13.66,14.46,Orbicella_franksi,grow,n/s
247,247,245,22.335,24.205,Orbicella_franksi,grow,n/s
0,0,0,24.8925,25.345,Orbicella_annularis,same,n/s
36,36,35,3.495,3.4875,Montastrea_cavernosa,same,n/s
38,38,39,3.7575,3.6475,Montastrea_cavernosa,same,n/s
41,41,40,3.63,3.6775,Montastrea_cavernosa,same,n/s
42,42,41,4.78,4.57,Montastrea_cavernosa,same,n/s
46,46,45,4.09,4.27,Montastrea_cavernosa,same,n/s
53,53,53,31.035,31.69,Orbicella_annularis,same,n/s
56,56,56,4.9275,5.0525,Orbicella_franksi,same,n/s
64,64,63,3.08,2.9675,Orbicella_franksi,same,n/s
68,68,67,0.9475,0.9475,Orbicella_franksi,same,n/s
73,73,73,6.56,6.56,Orbicella_franksi,same,n/s
74,74,74,3.6075,3.6075,Orbicella_franksi,same,n/s
75,75,75,1.5425,1.5425,Orbicella_franksi,same,n/s
84,84,83,2.7925,2.7075,Montastrea_cavernosa,same,n/s
88,88,88,3.685,3.82,Montastrea_cavernosa,same,n/s
97,97,97,4.355,4.4575,Orbicella_franksi,same,n/s
100,100,101,4.6175,4.7225,Orbicella_franksi,same,n/s
101,101,102,8.365,8.215,Orbicella_franksi,same,n/s
115,115,117,5.2675,5.18,Montastrea_cavernosa,same,n/s
118,118,118,6.97,6.91,Montastrea_cavernosa,same,n/s
122,122,123,5.0925,5.25,Montastrea_cavernosa,same,n/s
130,130,131,8.875,8.975,Montastrea_cavernosa,same,n/s
137,137,138,6.735,6.555,Montastrea_cavernosa,same,n/s
147,147,148,5.0575,5.0375,Montastrea_cavernosa,same,n/s
158,158,159,6.78,6.805,Montastrea_cavernosa,same,n/s
160,160,160,6.145,5.89,Montastrea_cavernosa,same,n/s
163,163,164,6.0575,6.045,Montastrea_cavernosa,same,n/s
167,167,167,6.6975,6.6225,Orbicella_franksi,same,n/s
171,171,171,3.1,3.1375,Orbicella_franksi,same,n/s
174,174,175,3.07,3.125,Orbicella_franksi,same,n/s
176,176,174,8.805,8.8825,Orbicella_franksi,same,n/s
179,179,179,2.6125,2.6375,Orbicella_franksi,same,n/s
182,182,182,30.26,31.09,Orbicella_annularis,same,n/s
189,189,189,6.97,7.03,Orbicella_franksi,same,n/s
203,203,203,8.6925,8.28,Porites_porites,same,n/s
217,217,218,8.6925,8.43,Porites_porites,same,n/s
219,219,219,7.4225,7.2575,Orbicella_franksi,same,n/s
221,221,221,9.4625,9.1625,Porites_porites,same,n/s
230,230,230,7.195,7.2725,Porites_porites,same,n/s
236,236,236,28.5975,28.45,Porites_porites,same,n/s
248,248,246,20.82,21.02,Orbicella_franksi,same,n/s
252,252,250,23.715,23.4625,Orbicella_franksi,same,n/s
4,4,4,4.3575,3.84,Orbicella_annularis,shrink,n/s
5,5,5,1.6225,0.4075,Orbicella_annularis,shrink,n/s
7,7,7,1.335,0.9025,Orbicella_annularis,shrink,n/s
9,9,9,1.635,0.4825,Orbicella_annularis,shrink,n/s
15,15,15,0.765,0.7175,Orbicella_annularis,shrink,n/s
20,20,20,1.3425,1.165,Orbicella_annularis,shrink,n/s
23,23,23,1.1175,0.7025,Orbicella_annularis,shrink,n/s
24,24,24,2.5275,0.975,Orbicella_annularis,shrink,n/s
30,30,30,10.035,9.1025,Porites_porites,shrink,n/s
31,31,31,2.6275,1.975,Montastrea_cavernosa,shrink,n/s
32,32,32,10.23,9.7025,Porites_porites,shrink,n/s
34,34,33,4.0975,3.81,Montastrea_cavernosa,shrink,n/s
35,35,34,3.435,3.21,Montastrea_cavernosa,shrink,n/s
37,37,37,4.48,3.59,Montastrea_cavernosa,shrink,n/s
39,39,38,3.565,3.2525,Montastrea_cavernosa,shrink,n/s
44,44,43,2.8075,2.14,Montastrea_cavernosa,shrink,n/s
45,45,44,5.21,4.6775,Montastrea_cavernosa,shrink,n/s
47,47,46,2.6325,1.985,Montastrea_cavernosa,shrink,n/s
48,48,47,3.885,3.2375,Montastrea_cavernosa,shrink,n/s
49,49,48,2.5525,1.2175,Montastrea_cavernosa,shrink,n/s
50,50,49,3.73,2.3725,Montastrea_cavernosa,shrink,n/s
51,51,51,4.1825,2.92,Montastrea_cavernosa,shrink,n/s
54,54,54,26.9825,24.1475,Orbicella_annularis,shrink,n/s
55,55,55,7.51,6.8,Orbicella_franksi,shrink,n/s
57,57,57,5.935,3.37,Orbicella_franksi,shrink,n/s
58,58,70,1.62,0.315,Orbicella_franksi,shrink,n/s
59,59,58,7.6525,7.0575,Orbicella_franksi,shrink,n/s
61,61,60,3.1825,2.655,Orbicella_franksi,shrink,n/s
62,62,61,7.2375,5.7275,Orbicella_franksi,shrink,n/s
63,63,62,7.7225,6.97,Orbicella_franksi,shrink,n/s
65,65,65,5.63,3.4875,Orbicella_franksi,shrink,n/s
66,66,64,6.62,5.795,Orbicella_franksi,shrink,n/s
67,67,66,6.955,5.5175,Orbicella_franksi,shrink,n/s
69,69,69,6.3025,4.9325,Orbicella_franksi,shrink,n/s
70,70,68,5.0475,4.125,Orbicella_franksi,shrink,n/s
71,71,71,2.0275,1.8325,Orbicella_franksi,shrink,n/s
72,72,72,2.9675,2.2925,Orbicella_franksi,shrink,n/s
76,76,76,1.92,1.075,Montastrea_cavernosa,shrink,n/s
77,77,77,3.35,2.89,Montastrea_cavernosa,shrink,n/s
78,78,79,1.205,0.5275,Montastrea_cavernosa,shrink,n/s
79,79,78,1.9825,1.745,Montastrea_cavernosa,shrink,n/s
80,80,80,3.4175,2.53,Montastrea_cavernosa,shrink,n/s
81,81,81,3.2225,2.28,Montastrea_cavernosa,shrink,n/s
82,82,82,3.5175,3.205,Montastrea_cavernosa,shrink,n/s
83,83,84,3.39,1.845,Montastrea_cavernosa,shrink,n/s
85,85,85,3.015,1.645,Montastrea_cavernosa,shrink,n/s
86,86,87,2.3825,1.6825,Montastrea_cavernosa,shrink,n/s
87,87,86,1.4675,1.06,Montastrea_cavernosa,shrink,n/s
89,89,89,2.6925,1.18,Montastrea_cavernosa,shrink,n/s
91,91,91,2.5675,1.9825,Montastrea_cavernosa,shrink,n/s
92,92,93,3.375,1.9425,Montastrea_cavernosa,shrink,n/s
93,93,92,3.96,3.5075,Montastrea_cavernosa,shrink,n/s
94,94,94,3.43,2.4675,Montastrea_cavernosa,shrink,n/s
95,95,95,14.115,10.605,Orbicella_annularis,shrink,n/s
98,98,98,4.59,4.3525,Orbicella_franksi,shrink,n/s
103,103,104,7.8725,7.0925,Orbicella_franksi,shrink,n/s
104,104,105,6.0375,5.2425,Montastrea_cavernosa,shrink,n/s
105,105,27,5.2625,4.33,Orbicella_franksi,shrink,n/s
106,106,106,6.3775,3.33,Orbicella_franksi,shrink,n/s
107,107,108,7.91,6.9825,Montastrea_cavernosa,shrink,n/s
108,108,107,4.515,1.66,Montastrea_cavernosa,shrink,n/s
109,109,109,3.6525,2.7675,Montastrea_cavernosa,shrink,n/s
110,110,111,3.295,2.02,Orbicella_franksi,shrink,n/s
111,111,112,6.7425,2.87,Montastrea_cavernosa,shrink,n/s
112,112,113,3.485,3.135,Montastrea_cavernosa,shrink,n/s
114,114,114,5.1525,4.17,Montastrea_cavernosa,shrink,n/s
116,116,115,6.17,2.9,Montastrea_cavernosa,shrink,n/s
117,117,116,5.31,3.0425,Montastrea_cavernosa,shrink,n/s
119,119,121,5.89,1.9325,Montastrea_cavernosa,shrink,n/s
120,120,119,2.9775,2.305,Orbicella_franksi,shrink,n/s
121,121,120,4.1975,3.57,Orbicella_franksi,shrink,n/s
123,123,122,5.4225,4.5125,Montastrea_cavernosa,shrink,n/s
124,124,125,6.08,1.31,Montastrea_cavernosa,shrink,n/s
125,125,126,5.6275,5.15,Montastrea_cavernosa,shrink,n/s
126,126,127,5.485,5.055,Montastrea_cavernosa,shrink,n/s
127,127,124,4.32,3.34,Orbicella_franksi,shrink,n/s
128,128,128,5.85,0.7325,Montastrea_cavernosa,shrink,n/s
129,129,129,6.39,5.92,Montastrea_cavernosa,shrink,n/s
131,131,132,4.2925,3.5375,Montastrea_cavernosa,shrink,n/s
132,132,130,6.3225,3.2475,Montastrea_cavernosa,shrink,n/s
134,134,134,6.655,5.7375,Montastrea_cavernosa,shrink,n/s
135,135,133,5.0225,3.385,Montastrea_cavernosa,shrink,n/s
136,136,136,7.265,2.44,Orbicella_franksi,shrink,n/s
138,138,142,5.0275,1.325,Montastrea_cavernosa,shrink,n/s
139,139,139,6.6425,3.0,Montastrea_cavernosa,shrink,n/s
141,141,140,5.105,2.6825,Montastrea_cavernosa,shrink,n/s
142,142,141,6.61,5.8575,Montastrea_cavernosa,shrink,n/s
143,143,145,6.4725,5.635,Montastrea_cavernosa,shrink,n/s
144,144,137,4.8375,4.14,Orbicella_franksi,shrink,n/s
145,145,143,6.575,5.9925,Montastrea_cavernosa,shrink,n/s
146,146,146,6.045,5.2425,Montastrea_cavernosa,shrink,n/s
148,148,147,4.1725,2.5775,Montastrea_cavernosa,shrink,n/s
149,149,150,7.71,6.8475,Montastrea_cavernosa,shrink,n/s
151,151,152,6.0975,5.675,Montastrea_cavernosa,shrink,n/s
152,152,151,4.89,1.4025,Montastrea_cavernosa,shrink,n/s
153,153,154,8.3625,3.9825,Orbicella_franksi,shrink,n/s
154,154,153,6.8725,2.525,Montastrea_cavernosa,shrink,n/s
155,155,155,9.025,5.5575,Orbicella_franksi,shrink,n/s
156,156,157,5.525,1.3275,Montastrea_cavernosa,shrink,n/s
157,157,158,6.235,5.28,Montastrea_cavernosa,shrink,n/s
159,159,156,5.5475,3.1425,Montastrea_cavernosa,shrink,n/s
161,161,161,5.9025,3.8925,Montastrea_cavernosa,shrink,n/s
162,162,162,5.97,3.95,Montastrea_cavernosa,shrink,n/s
164,164,163,5.8025,4.6975,Montastrea_cavernosa,shrink,n/s
165,165,165,6.2175,4.745,Montastrea_cavernosa,shrink,n/s
175,175,176,5.4925,4.72,Orbicella_franksi,shrink,n/s
177,177,177,3.655,3.405,Orbicella_franksi,shrink,n/s
180,180,180,3.79,2.575,Orbicella_franksi,shrink,n/s
181,181,181,5.4425,4.69,Orbicella_franksi,shrink,n/s
183,183,183,4.34,3.8075,Porites_porites,shrink,n/s
187,187,187,6.3225,4.4525,Orbicella_franksi,shrink,n/s
188,188,188,3.86,2.345,Orbicella_franksi,shrink,n/s
190,190,190,7.3775,6.1725,Orbicella_franksi,shrink,n/s
191,191,191,3.37,1.6175,Orbicella_franksi,shrink,n/s
192,192,192,6.4775,3.6125,Orbicella_franksi,shrink,n/s
193,193,193,6.155,5.5775,Orbicella_franksi,shrink,n/s
194,194,194,8.83,7.655,Orbicella_franksi,shrink,n/s
195,195,195,10.455,8.27,Porites_porites,shrink,n/s
196,196,196,3.6075,2.8475,Orbicella_franksi,shrink,n/s
197,197,197,6.84,6.19,Porites_porites,shrink,n/s
198,198,198,5.045,3.8175,Orbicella_franksi,shrink,n/s
199,199,200,6.2925,5.64,Orbicella_franksi,shrink,n/s
200,200,201,4.2925,4.0225,Orbicella_franksi,shrink,n/s
201,201,202,7.3975,6.4075,Orbicella_franksi,shrink,n/s
204,204,204,8.985,5.575,Porites_porites,shrink,n/s
205,205,208,9.04,5.325,Porites_porites,shrink,n/s
206,206,205,8.885,7.4575,Orbicella_franksi,shrink,n/s
207,207,207,8.3625,7.0975,Porites_porites,shrink,n/s
208,208,206,8.385,7.1925,Orbicella_franksi,shrink,n/s
209,209,209,7.3575,5.68,Orbicella_franksi,shrink,n/s
210,210,210,5.525,5.1825,Orbicella_franksi,shrink,n/s
211,211,211,8.9825,7.7725,Porites_porites,shrink,n/s
212,212,212,7.2375,6.225,Orbicella_franksi,shrink,n/s
213,213,213,9.3475,7.565,Porites_porites,shrink,n/s
214,214,215,7.24,5.1025,Porites_porites,shrink,n/s
