Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
796,829,-1,11.4875,0.0,Acropora_palmata,dead,none
802,831,-1,10.805,0.0,Acropora_palmata,dead,none
814,843,-1,11.775,0.0,Acropora_palmata,dead,none
5,7,2,2.295,3.115,Orbicella_annularis,grow,n/s
4,8,3,3.84,4.555,Orbicella_annularis,grow,n/s
6,10,4,2.26,2.4875,Orbicella_annularis,grow,n/s
9,14,7,0.7625,0.8925,Orbicella_annularis,grow,n/s
52,40,49,5.625,5.95,Orbicella_annularis,grow,n/s
56,46,53,0.3225,0.415,Orbicella_annularis,grow,n/s
261,253,251,26.785,28.6525,Orbicella_annularis,grow,n/s
367,344,354,22.6575,24.4825,Orbicella_annularis,grow,n/s
382,356,366,2.3175,2.5025,Orbicella_annularis,grow,n/s
481,466,477,5.6575,5.9475,Orbicella_franksi,grow,n/s
483,468,479,5.1575,5.5125,Orbicella_franksi,grow,n/s
535,521,528,5.935,6.36,Orbicella_annularis,grow,n/s
561,552,553,0.365,0.5,Orbicella_annularis,grow,n/s
571,565,567,1.505,1.675,Orbicella_annularis,grow,n/s
573,567,568,0.675,0.715,Orbicella_annularis,grow,n/s
689,679,683,15.3525,16.9,Orbicella_franksi,grow,n/s
691,683,687,18.7425,21.0075,Orbicella_franksi,grow,n/s
700,690,697,9.1325,9.6025,Orbicella_franksi,grow,n/s
698,693,694,3.8875,4.1075,Orbicella_franksi,grow,n/s
730,712,725,21.6275,25.3375,Acropora_palmata,grow,n/s
738,717,732,12.28,13.915,Acropora_palmata,grow,n/s
745,728,737,4.135,4.4475,Orbicella_faveolata,grow,n/s
753,734,0,15.2475,19.595,Acropora_palmata,grow,n/s
841,815,818,43.4775,48.085,Orbicella_annularis,grow,n/s
846,818,823,2.1,2.3875,Orbicella_annularis,grow,n/s
851,822,827,1.3025,1.4525,Orbicella_annularis,grow,n/s
852,823,828,0.2875,0.335,Orbicella_annularis,grow,n/s
811,838,788,12.5,24.4325,Acropora_palmata,grow,n/s
930,910,907,7.56,8.1825,Orbicella_franksi,grow,n/s
933,915,909,27.1075,29.5225,Orbicella_franksi,grow,n/s
939,921,915,6.2125,6.9075,Orbicella_franksi,grow,n/s
942,923,917,8.2575,8.7775,Orbicella_franksi,grow,n/s
969,999,947,12.01,16.4875,Acropora_cervicornis,grow,n/s
979,1005,958,3.06,4.0,Acropora_cervicornis,grow,n/s
3168,1012,1008,7.5075,8.8075,Orbicella_annularis,grow,n/s
1037,1039,1030,6.2,7.595,Orbicella_faveolata,grow,n/s
1040,1040,1033,9.0725,10.1075,Orbicella_faveolata,grow,n/s
1090,1089,1086,4.915,5.175,Orbicella_faveolata,grow,n/s
1122,1117,1113,5.2825,6.5125,Orbicella_faveolata,grow,n/s
1152,1138,1138,6.6675,7.88,Orbicella_faveolata,grow,n/s
1154,1140,1141,3.8825,4.565,Orbicella_faveolata,grow,n/s
1173,1159,1156,5.05,5.365,Orbicella_annularis,grow,n/s
1177,1162,1162,18.6575,20.67,Orbicella_annularis,grow,n/s
1179,1165,1163,0.6275,1.05,Orbicella_annularis,grow,n/s
1180,1166,1166,1.635,2.0825,Orbicella_annularis,grow,n/s
1214,1204,1198,3.0725,5.0525,Acropora_cervicornis,grow,n/s
8,12,6,4.1525,25.245,Orbicella_annularis,n/s,fuse
8,13,6,14.2525,25.245,Orbicella_annularis,n/s,fuse
8,15,6,4.29,25.245,Orbicella_annularis,n/s,fuse
405,380,394,13.6025,38.4425,Orbicella_franksi,n/s,fuse
405,387,394,27.455,38.4425,Orbicella_franksi,n/s,fuse
589,571,580,28.245,35.23,Orbicella_franksi,n/s,fuse
589,576,580,7.1875,35.23,Orbicella_franksi,n/s,fuse
805,783,781,15.3325,48.415,Acropora_palmata,n/s,fuse
805,787,781,22.035,48.415,Acropora_palmata,n/s,fuse
828,799,802,21.685,28.1475,Orbicella_franksi,n/s,fuse
828,809,802,8.32,28.1475,Orbicella_franksi,n/s,fuse
932,913,908,6.58,21.935,Orbicella_franksi,n/s,fuse
932,917,908,13.845,21.935,Orbicella_franksi,n/s,fuse
7,11,5,2.265,2.2175,Orbicella_annularis,same,n/s
10,17,8,1.6375,1.715,Orbicella_annularis,same,n/s
47,35,44,1.8475,1.81,Orbicella_annularis,same,n/s
50,39,48,12.6225,12.955,Orbicella_annularis,same,n/s
54,43,51,4.5,4.5175,Orbicella_annularis,same,n/s
85,79,80,56.0425,54.7125,Orbicella_annularis,same,n/s
221,210,209,28.5075,27.4525,Orbicella_annularis,same,n/s
224,214,212,74.1475,76.355,Orbicella_annularis,same,n/s
344,335,337,46.3675,47.685,Orbicella_annularis,same,n/s
368,345,355,10.26,10.0975,Orbicella_annularis,same,n/s
409,391,398,20.4075,19.88,Orbicella_franksi,same,n/s
412,394,402,13.6725,13.845,Orbicella_franksi,same,n/s
413,396,403,7.04,6.895,Orbicella_franksi,same,n/s
449,436,443,33.05,32.14,Orbicella_annularis,same,n/s
470,458,467,5.105,5.165,Orbicella_franksi,same,n/s
475,461,471,4.705,4.8125,Orbicella_franksi,same,n/s
476,463,474,6.195,6.2475,Orbicella_franksi,same,n/s
478,464,481,10.5675,10.475,Orbicella_franksi,same,n/s
485,470,483,6.9225,6.71,Orbicella_franksi,same,n/s
488,471,485,6.655,6.5375,Orbicella_franksi,same,n/s
489,472,486,6.2575,6.39,Orbicella_franksi,same,n/s
531,517,523,1.325,1.315,Orbicella_annularis,same,n/s
532,518,524,37.94,36.7575,Orbicella_annularis,same,n/s
540,523,531,4.4375,4.5775,Orbicella_annularis,same,n/s
2796,554,555,0.5025,0.51,Orbicella_annularis,same,n/s
566,559,559,2.55,2.5725,Orbicella_annularis,same,n/s
567,561,560,0.745,0.78,Orbicella_annularis,same,n/s
568,562,561,0.5575,0.57,Orbicella_annularis,same,n/s
570,563,565,0.525,0.51,Orbicella_annularis,same,n/s
591,579,583,9.4225,9.11,Orbicella_franksi,same,n/s
593,582,584,5.985,5.835,Orbicella_franksi,same,n/s
614,601,604,72.935,75.3275,Orbicella_annularis,same,n/s
617,605,613,0.4,0.4075,Orbicella_annularis,same,n/s
685,681,681,5.56,5.585,Orbicella_franksi,same,n/s
686,682,682,3.93,3.8625,Orbicella_franksi,same,n/s
692,686,688,4.665,4.485,Orbicella_franksi,same,n/s
693,687,689,12.28,12.42,Orbicella_franksi,same,n/s
694,688,691,3.2,3.0875,Orbicella_franksi,same,n/s
697,692,693,5.9,5.7975,Orbicella_franksi,same,n/s
699,694,696,6.2625,6.14,Orbicella_franksi,same,n/s
674,719,667,14.3075,14.3075,Acropora_palmata,same,n/s
676,723,670,10.355,10.355,Acropora_palmata,same,n/s
677,724,671,21.435,21.435,Acropora_palmata,same,n/s
680,725,674,12.7,12.7,Acropora_palmata,same,n/s
746,729,739,6.8,6.6725,Orbicella_faveolata,same,n/s
748,731,740,7.7075,7.835,Orbicella_faveolata,same,n/s
755,737,744,18.5675,18.5125,Orbicella_faveolata,same,n/s
757,738,746,8.705,8.7725,Orbicella_faveolata,same,n/s
683,739,677,13.795,13.795,Acropora_palmata,same,n/s
762,741,750,26.5025,25.6875,Orbicella_faveolata,same,n/s
765,743,754,7.3475,7.1975,Orbicella_faveolata,same,n/s
829,801,805,4.515,4.475,Orbicella_franksi,same,n/s
831,803,806,6.25,6.465,Orbicella_franksi,same,n/s
836,811,812,3.995,3.8875,Orbicella_franksi,same,n/s
868,839,843,69.3975,69.4875,Orbicella_annularis,same,n/s
928,907,905,7.7425,7.9575,Orbicella_franksi,same,n/s
971,1000,950,4.0075,4.0275,Acropora_cervicornis,same,n/s
980,1006,959,7.63,7.925,Acropora_cervicornis,same,n/s
986,1008,966,8.1125,8.1125,Acropora_cervicornis,same,n/s
1041,1041,1035,6.2825,6.555,Orbicella_faveolata,same,n/s
1087,1087,1083,13.72,13.7375,Orbicella_faveolata,same,n/s
1091,1090,1087,6.0025,6.175,Orbicella_faveolata,same,n/s
1118,1115,1109,3.9,4.0175,Orbicella_faveolata,same,n/s
1126,1119,1115,3.225,3.375,Orbicella_faveolata,same,n/s
1153,1139,1139,5.2175,5.0325,Orbicella_faveolata,same,n/s
1158,1145,1143,4.6175,4.4825,Orbicella_faveolata,same,n/s
1159,1146,1144,5.61,5.8625,Orbicella_faveolata,same,n/s
1174,1160,1157,2.1575,2.075,Orbicella_annularis,same,n/s
