Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
63,-1,0,0.0,4.255,Orbicella_sp.,born,none
64,-1,1,0.0,2.92,Orbicella_sp.,born,none
0,20,-1,0.4325,0.0,Orbicella_annularis,dead,none
21,1,64,3.5,3.8625,Orbicella_annularis,grow,n/s
21,15,71,4.23,4.905,Orbicella_annularis,grow,n/s
24,16,70,0.4925,0.7675,Orbicella_annularis,grow,n/s
25,18,72,6.4875,7.0525,Orbicella_annularis,grow,n/s
27,21,74,3.1025,4.0175,Orbicella_annularis,grow,n/s
28,22,76,8.0475,8.615,Orbicella_annularis,grow,n/s
29,26,77,0.9975,1.185,Orbicella_annularis,grow,n/s
25,27,78,2.35,3.0775,Orbicella_annularis,grow,n/s
31,29,80,9.1025,10.51,Orbicella_annularis,grow,n/s
33,38,83,2.8225,3.255,Orbicella_annularis,grow,n/s
34,45,86,3.0675,4.065,Orbicella_annularis,grow,n/s
35,47,88,0.54,0.6225,Orbicella_annularis,grow,n/s
2,59,28,4.9825,5.5075,Orbicella_franksi,grow,n/s
4,65,31,5.025,5.385,Orbicella_franksi,grow,n/s
8,71,37,5.1375,5.435,Orbicella_franksi,grow,n/s
9,73,38,5.15,5.7575,Orbicella_franksi,grow,n/s
11,76,40,4.0925,4.435,Orbicella_franksi,grow,n/s
13,78,42,2.3,3.545,Orbicella_franksi,grow,n/s
16,84,47,8.3075,9.0725,Orbicella_annularis,grow,n/s
18,87,50,2.83,3.3275,Orbicella_annularis,grow,n/s
19,89,52,5.1625,6.845,Orbicella_annularis,grow,n/s
19,90,53,2.49,2.7925,Orbicella_annularis,grow,n/s
20,91,54,5.025,5.445,Orbicella_annularis,grow,n/s
41,108,116,5.0125,5.435,Orbicella_franksi,grow,n/s
49,128,135,5.4275,6.345,Orbicella_annularis,grow,n/s
50,129,136,4.755,5.3025,Orbicella_annularis,grow,n/s
52,179,179,5.9025,6.5125,Orbicella_annularis,grow,n/s
54,180,181,5.33,5.9875,Orbicella_annularis,grow,n/s
56,184,184,4.1025,5.2875,Orbicella_faveolata,grow,n/s
57,185,187,4.27,6.4775,Orbicella_faveolata,grow,n/s
58,186,188,9.0,20.9375,Acropora_palmata,grow,n/s
59,187,189,10.5825,22.0525,Acropora_palmata,grow,n/s
60,188,190,18.5625,26.4,Acropora_palmata,grow,n/s
61,189,191,9.3575,13.925,Acropora_palmata,grow,n/s
62,192,192,12.1525,15.55,Acropora_palmata,grow,n/s
32,35,81,120.8975,272.8425,Acropora_palmata,n/s,fuse
32,48,81,33.1025,272.8425,Acropora_palmata,n/s,fuse
32,57,81,73.19,272.8425,Acropora_palmata,n/s,fuse
21,0,63,16.3275,16.8725,Orbicella_annularis,same,n/s
36,50,89,1.735,1.7125,Orbicella_annularis,same,n/s
3,62,29,4.4275,4.3675,Orbicella_franksi,same,n/s
5,67,32,4.9525,4.795,Orbicella_franksi,same,n/s
22,97,61,3.3275,3.35,Orbicella_annularis,same,n/s
39,105,113,5.75,5.825,Orbicella_franksi,same,n/s
38,107,114,5.985,5.8125,Orbicella_franksi,same,n/s
42,110,117,6.3425,6.49,Orbicella_franksi,same,n/s
43,112,119,6.0425,6.1875,Orbicella_franksi,same,n/s
45,113,121,6.145,5.915,Orbicella_franksi,same,n/s
47,124,132,5.77,5.5475,Orbicella_annularis,same,n/s
51,130,137,6.975,6.9875,Orbicella_annularis,same,n/s
53,176,177,6.7625,6.5525,Orbicella_annularis,same,n/s
52,177,176,4.6825,4.675,Orbicella_annularis,same,n/s
52,178,178,6.2925,6.3775,Orbicella_annularis,same,n/s
55,183,183,8.975,9.1725,Orbicella_faveolata,same,n/s
26,17,73,2.76,2.565,Orbicella_annularis,shrink,n/s
6,69,36,3.975,3.69,Orbicella_franksi,shrink,n/s
14,80,45,4.695,2.9125,Orbicella_franksi,shrink,n/s
21,96,60,4.7425,4.3125,Orbicella_annularis,shrink,n/s
40,106,115,5.7025,5.2375,Orbicella_franksi,shrink,n/s
44,111,120,4.73,4.4675,Orbicella_franksi,shrink,n/s
46,115,123,5.09,4.5025,Orbicella_franksi,shrink,n/s
48,125,133,2.3525,2.22,Orbicella_annularis,shrink,n/s
