Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,-1,0,0.0,21.6825,Orbicella_annularis,born,none
1,-1,1,0.0,11.925,Orbicella_annularis,born,none
2,-1,2,0.0,8.34,Porites_porites,born,none
3,-1,3,0.0,10.2125,Porites_porites,born,none
4,-1,4,0.0,22.4125,Orbicella_annularis,born,none
5,-1,5,0.0,10.4125,Porites_porites,born,none
6,-1,6,0.0,12.225,Porites_porites,born,none
7,-1,7,0.0,13.0025,Porites_porites,born,none
8,-1,8,0.0,14.35,Porites_porites,born,none
9,-1,9,0.0,10.075,Porites_porites,born,none
10,-1,10,0.0,8.535,Porites_porites,born,none
11,-1,11,0.0,9.1475,Porites_porites,born,none
12,-1,12,0.0,13.575,Porites_porites,born,none
13,-1,13,0.0,14.3325,Orbicella_annularis,born,none
14,-1,14,0.0,11.0075,Porites_porites,born,none
15,-1,15,0.0,11.11,Porites_porites,born,none
16,-1,16,0.0,25.25,Orbicella_annularis,born,none
17,-1,17,0.0,10.06,Porites_porites,born,none
18,-1,18,0.0,13.2475,Porites_porites,born,none
19,-1,19,0.0,18.795,Orbicella_annularis,born,none
20,-1,20,0.0,13.7175,Orbicella_annularis,born,none
