plot,plot_section,plot_folder,file,month_start,month_end,month_start_date,month_end_date,file_type,match_type,plot_length_m,plot_width_m,taglab_area_units
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20250507_20250609.csv,May,June,2025-05-07,2025-06-09,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20250609_20250711.csv,June,July,2025-06-09,2025-07-11,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20250711_20250804.csv,July,August,2025-07-11,2025-08-04,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20250804_20250908.csv,August,September,2025-08-04,2025-09-08,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20250908_20251014.csv,September,October,2025-09-08,2025-10-14,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20251014_20251106.csv,October,November,2025-10-14,2025-11-06,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20251106_20251204.csv,November,December,2025-11-06,2025-12-04,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20251204_20260120.csv,December,January,2025-12-04,2026-01-20,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20260120_20260216.csv,January,February,2026-01-20,2026-02-16,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20260216_20260325.csv,February,March,2026-02-16,2026-03-25,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20260325_20260409.csv,March,April,2026-03-25,2026-04-09,csv,0-0,16,30,cm2
Plot E,0-0,Plot_E,0-0_PlotE_Matches_20260409_20260504.csv,April,May,2026-04-09,2026-05-04,csv,0-0,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20250507_20250609.csv,May,June,2025-05-07,2025-06-09,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20250609_20250711.csv,June,July,2025-06-09,2025-07-11,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20250711_20250804.csv,July,August,2025-07-11,2025-08-04,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20250804_20250908.csv,August,September,2025-08-04,2025-09-08,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20250908_20251014.csv,September,October,2025-09-08,2025-10-14,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20251014_20251106.csv,October,November,2025-10-14,2025-11-06,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20251106_20251204.csv,November,December,2025-11-06,2025-12-04,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20251204_20260120.csv,December,January,2025-12-04,2026-01-20,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20260120_20260216.csv,January,February,2026-01-20,2026-02-16,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20260216_20260325.csv,February,March,2026-02-16,2026-03-25,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20260325_20260409.csv,March,April,2026-03-25,2026-04-09,csv,0-1,16,30,cm2
Plot E,0-1,Plot_E,0-1_PlotE_Matches_20260409_20260504.csv,April,May,2026-04-09,2026-05-04,csv,0-1,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20250507_20250609.csv,May,June,2025-05-07,2025-06-09,csv,1-0,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20250609_20250711.csv,June,July,2025-06-09,2025-07-11,csv,1-0,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20250711_20250804.csv,July,August,2025-07-11,2025-08-04,csv,1-0,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20250804_20250908.csv,August,September,2025-08-04,2025-09-08,csv,1-0,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20250908_20251014.csv,September,October,2025-09-08,2025-10-14,csv,1-0,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20251014_20251106.csv,October,November,2025-10-14,2025-11-06,csv,1-0,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20251106_20251204.csv,November,December,2025-11-06,2025-12-04,csv,1-0,16,30,cm2
Plot E,1-0,Plot_E,1-0_PlotE_Matches_20251204_20260120.csv,December,January,2025-12-04,2026-01-20,csv,1-0,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20250507_20250609.csv,May,June,2025-05-07,2025-06-09,csv,1-1,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20250609_20250711.csv,June,July,2025-06-09,2025-07-11,csv,1-1,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20250711_20250804.csv,July,August,2025-07-11,2025-08-04,csv,1-1,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20250804_20250908.csv,August,September,2025-08-04,2025-09-08,csv,1-1,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20250908_20251014.csv,September,October,2025-09-08,2025-10-14,csv,1-1,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20251014_20251106.csv,October,November,2025-10-14,2025-11-06,csv,1-1,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20251106_20251204.csv,November,December,2025-11-06,2025-12-04,csv,1-1,16,30,cm2
Plot E,1-1,Plot_E,1-1_PlotE_Matches_20251204_20260120.csv,December,January,2025-12-04,2026-01-20,csv,1-1,16,30,cm2
