plot,interval_order,month_start,month_end,genet,tag,genotype,species,source_files,match_types,actions,split_fuse_events,n_rows,plot_area_m2,taglab_area_units,area_start,area_end,area_start_m2,area_end_m2,present_start,present_end,survived_interval,died_interval,born_interval
Plot E,1,May,June,0,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,0.225,0.2375,2.25e-5,2.3749999999999998e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,10,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,dead,none,1,480,cm2,19.885,0,0.0019885000000000002,0,TRUE,FALSE,FALSE,TRUE,FALSE
Plot E,1,May,June,11,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.2775,4.0925,3.2774999999999997e-4,4.0925e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,12,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,dead,none,1,480,cm2,17.0325,0,0.00170325,0,TRUE,FALSE,FALSE,TRUE,FALSE
Plot E,1,May,June,13,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,2.75,2.3,2.75e-4,2.2999999999999998e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,14,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.7425,4.695,3.7425e-4,4.6950000000000003e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,15,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,dead,none,1,480,cm2,16.985,0,0.0016985,0,TRUE,FALSE,FALSE,TRUE,FALSE
Plot E,1,May,June,16,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,8.0875,8.3075,8.0875e-4,8.307499999999999e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,17,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,dead,none,1,480,cm2,17.455,0,0.0017454999999999999,0,TRUE,FALSE,FALSE,TRUE,FALSE
Plot E,1,May,June,18,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,2.4425,2.83,2.4425e-4,2.83e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,19,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same; shrink,n/s,2,480,cm2,7.914999999999999,7.6525,7.914999999999999e-4,7.652500000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,2,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.2,4.9825,4.2e-4,4.9825e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,20,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.635,5.025,4.635e-4,5.025e-4,TRUE,TRUE,TRUE,FALSE,FALSE
