source_file,logger_location,date_time,date,temperature_c
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T16:14:56Z,2025-03-13,28.7
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T16:24:56Z,2025-03-13,30.2
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T16:34:56Z,2025-03-13,27.71
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T16:44:56Z,2025-03-13,26.21
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T16:54:56Z,2025-03-13,25.52
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T17:04:56Z,2025-03-13,25.14
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T17:14:56Z,2025-03-13,25.22
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T17:24:56Z,2025-03-13,25.610000000000003
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T17:34:56Z,2025-03-13,25.779999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T17:44:56Z,2025-03-13,26.64
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T17:54:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T18:04:56Z,2025-03-13,27.54
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T18:14:56Z,2025-03-13,27.630000000000003
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T18:24:56Z,2025-03-13,27.630000000000003
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T18:34:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T18:44:56Z,2025-03-13,27.58
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T18:54:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T19:04:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T19:14:56Z,2025-03-13,27.630000000000003
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T19:24:56Z,2025-03-13,27.54
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T19:34:56Z,2025-03-13,27.58
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T19:44:56Z,2025-03-13,27.54
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T19:54:56Z,2025-03-13,27.54
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T20:04:56Z,2025-03-13,27.54
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T20:14:56Z,2025-03-13,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T20:24:56Z,2025-03-13,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T20:34:56Z,2025-03-13,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T20:44:56Z,2025-03-13,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T20:54:56Z,2025-03-13,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T21:04:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T21:14:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T21:24:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T21:34:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T21:44:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T21:54:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T22:04:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T22:14:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T22:24:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T22:34:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T22:44:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T22:54:56Z,2025-03-13,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T23:04:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T23:14:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T23:24:56Z,2025-03-13,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T23:34:56Z,2025-03-13,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T23:44:56Z,2025-03-13,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-13T23:54:56Z,2025-03-13,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T00:04:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T00:14:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T00:24:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T00:34:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T00:44:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T00:54:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T01:04:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T01:14:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T01:24:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T01:34:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T01:44:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T01:54:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T02:04:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T02:14:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T02:24:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T02:34:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T02:44:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T02:54:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T03:04:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T03:14:56Z,2025-03-14,27.32
