id,id_new,marker,lat,lon,depth (ft),depth (m)
DPNREast,PlotA,M1,18.350940,-64.86406,49,14.9352
DPNREast,PlotA,M2,18.350750,-64.86403,31,9.4488
DPNREast,PlotA,M3,18.350750,-64.86430,30,9.1440
DPNREast,PlotA,M4,18.350860,-64.86430,51,15.5448
DPNR0,PlotB,M1,18.350825,-64.864589,45,13.7160
DPNR0,PlotB,M2,18.350694,-64.864572,25,7.6200
DPNR0,PlotB,M3,18.350750,-64.864300,30,9.1440
DPNR0,PlotB,M4,18.350860,-64.864300,51,15.5448
DPNR1,PlotC,M1,18.350825,-64.864589,45,13.7160
DPNR1,PlotC,M2,18.350694,-64.864572,25,7.6200
DPNR1,PlotC,M3,18.350610,-64.864818,22,6.7056
DPNR1,PlotC,M4,18.350740,-64.864868,42,12.8016
DPNR2,PlotD,M1,18.35068703,-64.86506802,42,12.8016
DPNR2,PlotD,M2,18.350538,-64.86506299,22,6.7056
DPNR2,PlotD,M3,18.350610,-64.864818,22,6.7056
DPNR2,PlotD,M4,18.350740,-64.864868,41,12.4968
CRF,PlotE,M1,18.35068703,-64.86506802,42,12.8016
CRF,PlotE,M2,18.350538,-64.86506299,22,6.7056
CRF,PlotE,M3,18.35045803,-64.86529903,22,6.7056
CRF,PlotE,M4,18.35058703,-64.86534798,41,12.4968
DPNR3,PlotF,M1,18.350450,-64.865620,37,11.2776
DPNR3,PlotF,M2,18.350360,-64.865590,20,6.0960
DPNR3,PlotF,M3,18.35045803,-64.86529903,22,6.7056
DPNR3,PlotF,M4,18.35058703,-64.86534798,41,12.4968
DPNR4,PlotG,M1,18.350450,-64.865620,37,11.2776
DPNR4,PlotG,M2,18.350360,-64.865590,20,6.0960
DPNR4,PlotG,M3,18.350270,-64.865860,21,6.4008
DPNR4,PlotG,M4,18.350390,-64.865940,38,11.5824
DPNR5,PlotH,M1,18.350300,-64.866160,33,10.0584
DPNR5,PlotH,M2,18.350160,-64.866090,19,5.7912
DPNR5,PlotH,M3,18.350270,-64.865860,21,6.4008
DPNR5,PlotH,M4,18.350390,-64.865940,38,11.5824
Control 1,Control 1,M1,18.350940,-64.86406,49,14.9352
Control 1,Control 1,M2,18.350750,-64.86403,31,9.4488
Control 1,Control 1,M3,18.350774,-64.863904,29,8.8392
Control 1,Control 1,M4,18.35091,-64.863928,46,14.0208
Control 2,Control 2,M1,18.350300,-64.866160,33,10.0584
Control 2,Control 2,M2,18.350160,-64.866090,19,5.7912
Control 2,Control 2,M3,18.350113,-64.866268,17,5.1816
Control 2,Control 2,M4,18.350204,-64.866264,27,8.2296
SCRA,SCRA,M1,18.35045099,-64.86435497,16,4.8768
SCRA,SCRA,M2,18.35030699,-64.864346,15,4.5720
SCRA,SCRA,M3,18.35027799,-64.86408499,13,3.9624
SCRA,SCRA,M4,18.35040799,-64.86406303,15,4.5720
SCRB,SCRB,M1,18.350466,-64.86378701,16,4.8768
SCRB,SCRB,M2,18.350309,-64.86378701,13,3.9624
SCRB,SCRB,M3,18.35027799,-64.86408499,13,3.9624
SRCB,SRCB,M4,18.35040799,-64.86406303,15,4.5720
Control 3,Control 3,M1,18.350466,-64.86378701,16,4.8768
Control 3,Control 3,M2,18.350309,-64.86378701,13,3.9624
Control 3,Control 3,M3,18.35029601,-64.86365701,16,4.8768
Control 3,Control 3,M4,18.350438,-64.86367201,13,3.9624
STA,STA,M3,18.35025,-64.8646,14,4.2672
STA,STA,M4,18.35037,-64.8647,16,4.8768
STA,STA,M1,18.35052,-64.8644,17,5.1816
STA,STA,M2,18.35037,-64.8644,15,4.572
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
