Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,24,0,15.8625,20.57,Orbicella_annularis,grow,n/s
1,25,1,9.7775,20.445,Porites_porites,grow,n/s
2,26,2,11.335,12.24,Porites_porites,grow,n/s
3,27,3,11.91,16.775,Orbicella_annularis,grow,n/s
4,28,4,22.495,27.66,Orbicella_annularis,grow,n/s
5,29,5,14.805,17.8275,Orbicella_annularis,grow,n/s
6,30,6,16.7025,25.995,Orbicella_annularis,grow,n/s
7,31,7,21.2275,27.8225,Orbicella_annularis,grow,n/s
8,32,8,1.67,5.2875,Porites_porites,grow,n/s
9,33,9,4.1375,9.6775,Porites_porites,grow,n/s
10,34,10,11.3325,13.175,Porites_porites,grow,n/s
11,35,11,10.765,17.5525,Porites_porites,grow,n/s
12,36,12,23.935,31.4025,Orbicella_annularis,grow,n/s
13,37,13,20.3225,27.495,Orbicella_annularis,grow,n/s
14,38,14,15.005,16.4425,Orbicella_annularis,grow,n/s
15,39,15,31.135,40.485,Orbicella_annularis,grow,n/s
16,40,18,16.6875,24.9075,Orbicella_annularis,grow,n/s
17,41,19,5.955,11.295,Porites_porites,grow,n/s
18,42,20,8.6875,10.005,Porites_porites,grow,n/s
21,45,22,12.345,15.46,Porites_porites,grow,n/s
23,46,21,11.0925,17.075,Porites_porites,grow,n/s
22,47,23,15.45,20.9475,Orbicella_annularis,grow,n/s
19,43,16,10.5725,10.5725,Porites_porites,same,n/s
20,44,17,8.865,8.865,Porites_porites,same,n/s
