Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,-1,0,0.0,3.53,Porites_porites,born,none
1,-1,1,0.0,7.0325,Porites_porites,born,none
2,-1,2,0.0,17.1325,Orbicella_annularis,born,none
3,-1,3,0.0,17.7025,Orbicella_annularis,born,none
4,-1,4,0.0,2.3225,Porites_porites,born,none
5,-1,5,0.0,10.395,Porites_porites,born,none
6,-1,6,0.0,17.645,Orbicella_annularis,born,none
7,-1,7,0.0,16.59,Orbicella_annularis,born,none
8,-1,8,0.0,8.1125,Porites_porites,born,none
9,-1,9,0.0,8.2425,Porites_porites,born,none
10,-1,10,0.0,18.6375,Orbicella_annularis,born,none
11,-1,11,0.0,7.33,Porites_porites,born,none
12,-1,12,0.0,6.985,Porites_porites,born,none
13,-1,13,0.0,16.97,Orbicella_annularis,born,none
14,-1,14,0.0,10.19,Porites_porites,born,none
15,-1,15,0.0,5.7125,Porites_porites,born,none
16,-1,16,0.0,8.33,Porites_porites,born,none
17,-1,17,0.0,8.16,Porites_porites,born,none
18,-1,18,0.0,18.2675,Orbicella_annularis,born,none
