Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,0,0,21.2925,24.2675,Orbicella_annularis,grow,n/s
1,1,1,17.57,19.86,Orbicella_annularis,grow,n/s
7,2,7,20.385,22.96,Orbicella_annularis,grow,n/s
9,4,9,21.3425,23.5725,Orbicella_annularis,grow,n/s
5,6,5,9.8375,12.9325,Porites_porites,grow,n/s
6,7,6,7.37,10.46,Porites_porites,grow,n/s
3,9,3,10.2825,15.5425,Porites_porites,grow,n/s
10,11,10,9.615,12.355,Porites_porites,grow,n/s
11,12,11,8.435,12.605,Porites_porites,grow,n/s
18,13,18,9.9575,11.8125,Porites_porites,grow,n/s
14,15,14,9.3325,14.5425,Porites_porites,grow,n/s
15,16,15,9.74,13.4925,Porites_porites,grow,n/s
13,17,13,10.9925,15.18,Porites_porites,grow,n/s
16,19,16,17.64,18.795,Orbicella_annularis,grow,n/s
19,21,19,8.21,8.6625,Porites_porites,grow,n/s
4,3,4,17.915,17.915,Orbicella_annularis,same,n/s
8,5,8,20.1675,20.42,Orbicella_annularis,same,n/s
17,14,17,11.4625,11.1125,Porites_porites,same,n/s
12,18,12,14.765,15.065,Porites_porites,same,n/s
2,8,2,13.4875,11.4625,Porites_porites,shrink,n/s
20,20,20,8.0025,6.7725,Porites_porites,shrink,n/s
