Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
90,90,-1,2.315,0.0,Porites_porites,dead,none
91,91,-1,1.035,0.0,Porites_porites,dead,none
98,96,-1,0.85,0.0,Porites_porites,dead,none
96,98,-1,1.4425,0.0,Porites_porites,dead,none
101,100,-1,1.04,0.0,Porites_porites,dead,none
111,110,-1,0.665,0.0,Porites_porites,dead,none
110,111,-1,1.6475,0.0,Porites_porites,dead,none
112,114,-1,1.95,0.0,Porites_porites,dead,none
128,126,-1,2.66,0.0,Porites_porites,dead,none
139,142,-1,1.6025,0.0,Porites_porites,dead,none
167,167,-1,1.565,0.0,Porites_porites,dead,none
169,170,-1,1.61,0.0,Porites_porites,dead,none
170,171,-1,0.9975,0.0,Porites_porites,dead,none
171,172,-1,0.5425,0.0,Porites_porites,dead,none
183,185,-1,1.3625,0.0,Porites_porites,dead,none
186,186,-1,1.8275,0.0,Porites_porites,dead,none
189,190,-1,1.64,0.0,Porites_porites,dead,none
192,193,-1,2.445,0.0,Porites_porites,dead,none
194,195,-1,2.655,0.0,Porites_porites,dead,none
207,206,-1,4.09,0.0,Porites_porites,dead,none
213,213,-1,1.53,0.0,Porites_porites,dead,none
225,225,-1,1.2375,0.0,Porites_porites,dead,none
253,256,-1,0.785,0.0,Porites_porites,dead,none
293,1,1,7.8375,9.9175,Porites_porites,grow,n/s
2,2,2,23.45,25.445,Orbicella_annularis,grow,n/s
5,5,5,3.3425,3.785,Montastrea_cavernosa,grow,n/s
12,12,12,3.2175,3.745,Montastrea_cavernosa,grow,n/s
22,22,23,23.22,26.06,Orbicella_annularis,grow,n/s
24,24,24,3.875,4.18,Montastrea_cavernosa,grow,n/s
25,25,25,3.73,4.2675,Montastrea_cavernosa,grow,n/s
26,26,26,3.55,3.9325,Montastrea_cavernosa,grow,n/s
28,28,28,4.0975,4.705,Montastrea_cavernosa,grow,n/s
30,30,30,4.5925,5.05,Montastrea_cavernosa,grow,n/s
35,35,35,3.8575,4.1025,Montastrea_cavernosa,grow,n/s
40,40,40,4.4375,5.2775,Montastrea_cavernosa,grow,n/s
46,46,45,2.2075,2.68,Montastrea_cavernosa,grow,n/s
47,47,46,3.92,4.4475,Montastrea_cavernosa,grow,n/s
48,48,47,3.1325,3.84,Montastrea_cavernosa,grow,n/s
49,49,48,2.045,5.4525,Montastrea_cavernosa,grow,n/s
50,50,49,3.9525,5.445,Montastrea_cavernosa,grow,n/s
51,51,50,4.02,4.34,Montastrea_cavernosa,grow,n/s
52,52,51,2.97,4.21,Montastrea_cavernosa,grow,n/s
54,53,54,3.135,4.215,Montastrea_cavernosa,grow,n/s
53,54,53,3.4925,4.3825,Montastrea_cavernosa,grow,n/s
58,58,52,18.8625,21.3425,Orbicella_annularis,grow,n/s
59,59,58,4.09,4.3625,Montastrea_cavernosa,grow,n/s
60,60,59,4.2375,5.0375,Montastrea_cavernosa,grow,n/s
61,61,60,2.2725,3.7725,Montastrea_cavernosa,grow,n/s
63,63,62,5.135,5.4,Montastrea_cavernosa,grow,n/s
65,65,64,1.8825,2.4225,Montastrea_cavernosa,grow,n/s
71,71,70,5.14,5.845,Montastrea_cavernosa,grow,n/s
72,72,71,4.77,5.7825,Montastrea_cavernosa,grow,n/s
73,73,72,6.08,6.52,Montastrea_cavernosa,grow,n/s
75,75,74,4.4875,4.85,Montastrea_cavernosa,grow,n/s
76,76,75,5.4975,6.105,Montastrea_cavernosa,grow,n/s
82,82,81,3.1725,3.585,Montastrea_cavernosa,grow,n/s
86,85,84,6.1425,6.73,Montastrea_cavernosa,grow,n/s
87,87,86,4.545,4.9275,Montastrea_cavernosa,grow,n/s
92,92,94,6.1125,6.9725,Porites_porites,grow,n/s
94,93,95,4.045,5.1625,Porites_porites,grow,n/s
93,94,96,5.995,7.2375,Porites_porites,grow,n/s
102,102,101,4.03,4.3075,Porites_porites,grow,n/s
103,103,102,9.4025,10.4325,Porites_porites,grow,n/s
105,105,104,2.595,3.4425,Porites_porites,grow,n/s
108,108,107,4.46,4.715,Porites_porites,grow,n/s
109,109,108,3.9125,5.645,Porites_porites,grow,n/s
120,120,118,3.4125,4.2125,Porites_porites,grow,n/s
122,122,116,3.3625,3.915,Porites_porites,grow,n/s
123,123,117,3.045,4.3425,Porites_porites,grow,n/s
125,125,122,1.7625,2.13,Porites_porites,grow,n/s
126,127,123,2.01,8.6,Porites_porites,grow,n/s
127,128,124,0.8825,3.365,Porites_porites,grow,n/s
130,129,125,1.8275,5.72,Porites_porites,grow,n/s
129,131,126,1.0725,2.11,Porites_porites,grow,n/s
133,132,128,1.77,4.615,Porites_porites,grow,n/s
132,133,129,2.915,4.17,Porites_porites,grow,n/s
135,135,130,1.5675,2.245,Porites_porites,grow,n/s
138,139,134,1.3475,1.6025,Porites_porites,grow,n/s
141,140,136,7.205,7.57,Orbicella_franksi,grow,n/s
144,144,140,4.51,4.7375,Orbicella_franksi,grow,n/s
147,147,142,5.4575,6.1425,Orbicella_franksi,grow,n/s
150,150,145,3.23,3.47,Orbicella_franksi,grow,n/s
152,152,147,2.9225,3.7575,Orbicella_franksi,grow,n/s
158,157,152,6.015,6.4,Orbicella_franksi,grow,n/s
161,161,155,4.2275,5.6325,Orbicella_franksi,grow,n/s
164,164,159,1.7525,1.93,Orbicella_franksi,grow,n/s
165,165,160,13.69,15.3125,Orbicella_annularis,grow,n/s
166,166,161,172.305,189.0525,Orbicella_annularis,grow,n/s
178,179,169,4.92,5.34,Porites_porites,grow,n/s
180,181,171,3.2925,3.91,Porites_porites,grow,n/s
185,187,175,2.6475,3.345,Porites_porites,grow,n/s
188,189,177,2.0075,3.425,Porites_porites,grow,n/s
198,198,183,4.84,6.995,Porites_porites,grow,n/s
197,199,184,2.7425,3.1125,Porites_porites,grow,n/s
200,201,186,1.705,2.23,Porites_porites,grow,n/s
204,202,189,2.2775,3.74,Porites_porites,grow,n/s
203,203,188,1.125,1.48,Porites_porites,grow,n/s
205,204,191,2.9375,3.18,Porites_porites,grow,n/s
211,212,195,3.015,4.6425,Porites_porites,grow,n/s
215,214,199,5.035,6.33,Porites_porites,grow,n/s
216,216,200,5.135,5.7875,Porites_porites,grow,n/s
220,217,197,3.6525,3.9325,Porites_porites,grow,n/s
218,219,202,2.17,3.035,Porites_porites,grow,n/s
222,220,206,4.075,5.76,Porites_porites,grow,n/s
224,221,208,1.575,2.52,Porites_porites,grow,n/s
223,222,209,3.725,5.4725,Porites_porites,grow,n/s
228,223,201,1.4875,5.0925,Porites_porites,grow,n/s
245,248,229,5.6075,7.68,Porites_porites,grow,n/s
246,249,230,8.6525,9.16,Orbicella_faveolata,grow,n/s
247,250,231,4.08,5.5625,Porites_porites,grow,n/s
249,251,234,7.0225,7.94,Porites_porites,grow,n/s
248,253,233,2.135,4.79,Porites_porites,grow,n/s
251,254,237,3.985,5.6175,Porites_porites,grow,n/s
252,255,236,4.0425,6.0875,Porites_porites,grow,n/s
254,257,239,1.29,2.63,Porites_porites,grow,n/s
257,259,240,7.2275,8.3525,Porites_porites,grow,n/s
258,260,241,6.625,7.7625,Porites_porites,grow,n/s
259,261,243,6.8175,9.5625,Porites_porites,grow,n/s
262,265,246,2.165,3.04,Porites_porites,grow,n/s
261,266,245,1.3425,1.8225,Porites_porites,grow,n/s
264,268,248,6.695,8.86,Porites_porites,grow,n/s
265,270,249,9.145,10.5275,Porites_porites,grow,n/s
269,274,253,2.4625,3.1075,Porites_porites,grow,n/s
270,275,254,3.8175,4.6375,Porites_porites,grow,n/s
271,276,255,13.0775,14.12,Orbicella_franksi,grow,n/s
272,277,256,5.7575,6.9,Orbicella_franksi,grow,n/s
273,278,257,3.59,4.2225,Orbicella_franksi,grow,n/s
274,279,258,5.9875,7.005,Orbicella_franksi,grow,n/s
279,284,263,2.4525,3.83,Orbicella_franksi,grow,n/s
280,285,264,4.745,5.4575,Orbicella_franksi,grow,n/s
