Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
9,9,-1,0.4825,0.0,Orbicella_annularis,dead,none
77,79,-1,0.5275,0.0,Montastrea_cavernosa,dead,none
94,95,-1,10.605,0.0,Orbicella_annularis,dead,none
183,186,-1,19.065,0.0,Orbicella_annularis,dead,none
245,246,-1,21.02,0.0,Orbicella_franksi,dead,none
3,3,4,0.7325,1.0875,Orbicella_annularis,grow,n/s
4,4,3,3.84,5.0625,Orbicella_annularis,grow,n/s
6,6,5,2.025,2.5575,Orbicella_annularis,grow,n/s
8,8,7,2.485,3.0925,Orbicella_annularis,grow,n/s
10,10,9,0.935,1.0825,Orbicella_annularis,grow,n/s
11,11,10,0.865,1.1225,Orbicella_annularis,grow,n/s
13,13,12,1.6125,2.0175,Orbicella_annularis,grow,n/s
14,14,13,1.39,1.5825,Orbicella_annularis,grow,n/s
15,15,15,0.7175,0.865,Orbicella_annularis,grow,n/s
16,16,14,1.4925,2.2475,Orbicella_annularis,grow,n/s
18,18,18,0.9525,1.15,Orbicella_annularis,grow,n/s
20,20,17,1.165,1.3425,Orbicella_annularis,grow,n/s
23,23,23,0.7025,0.9375,Orbicella_annularis,grow,n/s
24,24,22,0.975,1.2875,Orbicella_annularis,grow,n/s
26,26,25,0.67,0.735,Orbicella_annularis,grow,n/s
29,29,27,16.5625,18.15,Orbicella_annularis,grow,n/s
30,30,28,9.1025,11.555,Porites_porites,grow,n/s
32,32,30,9.7025,13.91,Porites_porites,grow,n/s
36,35,32,3.4875,3.7775,Montastrea_cavernosa,grow,n/s
38,39,36,3.6475,4.27,Montastrea_cavernosa,grow,n/s
42,41,39,4.57,5.5475,Montastrea_cavernosa,grow,n/s
43,42,41,5.3275,6.18,Montastrea_cavernosa,grow,n/s
44,43,40,2.14,2.8075,Montastrea_cavernosa,grow,n/s
46,45,43,4.27,4.6925,Montastrea_cavernosa,grow,n/s
48,47,45,3.2375,3.41,Montastrea_cavernosa,grow,n/s
50,49,47,2.3725,2.69,Montastrea_cavernosa,grow,n/s
51,51,48,2.92,3.37,Montastrea_cavernosa,grow,n/s
68,69,66,4.9325,5.4825,Orbicella_franksi,grow,n/s
