Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
1,1,-1,1.9025,0.0,Porites_porites,dead,none
2,2,-1,1.12,0.0,Porites_porites,dead,none
3,3,-1,1.9625,0.0,Porites_porites,dead,none
4,4,-1,1.6625,0.0,Porites_porites,dead,none
5,5,-1,4.635,0.0,Porites_porites,dead,none
68,70,-1,1.03,0.0,Porites_porites,dead,none
77,81,-1,3.2075,0.0,Porites_porites,dead,none
78,82,-1,1.56,0.0,Porites_porites,dead,none
79,83,-1,2.48,0.0,Porites_porites,dead,none
83,87,-1,4.8975,0.0,Porites_porites,dead,none
87,91,-1,3.625,0.0,Porites_porites,dead,none
90,94,-1,5.7775,0.0,Porites_porites,dead,none
116,120,-1,2.85,0.0,Porites_porites,dead,none
118,122,-1,2.07,0.0,Porites_porites,dead,none
123,127,-1,4.1925,0.0,Porites_porites,dead,none
163,167,-1,3.3825,0.0,Porites_porites,dead,none
164,168,-1,1.27,0.0,Porites_porites,dead,none
168,172,-1,1.0775,0.0,Porites_porites,dead,none
176,180,-1,2.4475,0.0,Porites_porites,dead,none
194,198,-1,4.7225,0.0,Porites_porites,dead,none
195,199,-1,7.1675,0.0,Porites_porites,dead,none
205,209,-1,3.685,0.0,Porites_porites,dead,none
208,212,-1,5.2525,0.0,Porites_porites,dead,none
210,214,-1,3.8375,0.0,Porites_porites,dead,none
213,217,-1,4.34,0.0,Porites_porites,dead,none
214,218,-1,2.4225,0.0,Porites_porites,dead,none
219,223,-1,3.46,0.0,Porites_porites,dead,none
220,224,-1,11.575,0.0,Porites_porites,dead,none
221,225,-1,0.7175,0.0,Porites_porites,dead,none
224,228,-1,5.6125,0.0,Porites_porites,dead,none
225,229,-1,0.8675,0.0,Porites_porites,dead,none
226,230,-1,1.97,0.0,Porites_porites,dead,none
229,233,-1,1.625,0.0,Porites_porites,dead,none
0,0,0,18.6575,19.755,Orbicella_annularis,grow,none
6,6,2,4.3925,5.3025,Montastrea_cavernosa,grow,none
7,7,1,0.7675,1.365,Montastrea_cavernosa,grow,none
8,8,3,0.89,2.7125,Montastrea_cavernosa,grow,none
9,9,4,5.8175,11.5625,Montastrea_cavernosa,grow,fuse
11,11,5,1.4975,2.0675,Montastrea_cavernosa,grow,none
12,12,7,2.935,3.7725,Montastrea_cavernosa,grow,none
13,13,8,3.5725,3.835,Montastrea_cavernosa,grow,none
9,14,4,3.9775,11.5625,Montastrea_cavernosa,grow,fuse
15,16,10,5.81,6.27,Montastrea_cavernosa,grow,none
16,17,11,2.2975,2.915,Montastrea_cavernosa,grow,none
18,19,13,1.82,2.31,Montastrea_cavernosa,grow,none
20,21,15,7.3825,8.1475,Porites_porites,grow,none
21,22,16,2.5475,3.8875,Porites_porites,grow,none
22,23,19,1.9025,2.5625,Montastrea_cavernosa,grow,none
23,24,17,4.0075,4.2275,Montastrea_cavernosa,grow,none
26,27,21,3.22,3.6725,Montastrea_cavernosa,grow,none
27,28,22,5.0375,6.06,Montastrea_cavernosa,grow,none
33,34,28,3.0325,3.3275,Montastrea_cavernosa,grow,none
34,35,29,2.3725,2.5875,Montastrea_cavernosa,grow,none
35,36,30,2.5025,2.9675,Montastrea_cavernosa,grow,none
39,40,34,22.49,24.0975,Orbicella_annularis,grow,none
41,42,36,7.535,9.7475,Unidentified_coral,grow,none
43,44,38,0.895,4.2075,Porites_porites,grow,n/s
44,45,40,2.5425,3.03,Porites_porites,grow,none
45,46,39,1.365,2.67,Porites_porites,grow,none
46,47,41,4.2175,8.995,Porites_porites,grow,fuse
47,48,42,3.3675,5.34,Porites_porites,grow,none
48,49,43,3.0625,3.8675,Porites_porites,grow,none
49,50,44,8.165,9.21,Porites_porites,grow,none
46,51,41,5.1175,8.995,Porites_porites,grow,fuse
51,53,46,4.1875,6.8625,Porites_porites,grow,none
52,54,47,5.22,7.285,Porites_porites,grow,none
53,55,48,8.065,9.5375,Porites_porites,grow,none
54,56,49,1.24,1.8875,Porites_porites,grow,none
55,57,50,3.14,3.92,Porites_porites,grow,none
56,58,51,4.3225,5.3325,Porites_porites,grow,none
57,59,52,4.555,5.1625,Porites_porites,grow,none
58,60,53,8.02,9.63,Porites_porites,grow,none
59,61,54,6.455,9.8775,Porites_porites,grow,none
60,62,55,6.32,9.6325,Porites_porites,grow,none
62,64,57,9.075,11.545,Porites_porites,grow,none
72,75,66,2.0525,2.18,Porites_porites,grow,n/s
80,84,71,2.0825,2.265,Porites_porites,grow,none
88,92,78,2.455,2.73,Porites_porites,grow,n/s
95,99,83,2.975,3.585,Porites_porites,grow,n/s
101,105,89,3.165,3.9575,Porites_porites,grow,n/s
120,124,106,4.4475,5.8675,Porites_porites,grow,none
128,132,112,6.445,7.315,Porites_porites,grow,none
130,134,114,3.38,4.0975,Porites_porites,grow,n/s
141,145,126,1.7575,2.3125,Porites_porites,grow,none
142,146,128,1.9925,2.1325,Porites_porites,grow,n/s
144,148,130,2.9025,3.1125,Porites_porites,grow,n/s
147,151,131,6.49,6.8525,Porites_porites,grow,none
149,153,134,4.1525,5.6725,Porites_porites,grow,none
151,155,136,3.8975,4.5225,Porites_porites,grow,none
152,156,137,4.8275,5.1125,Porites_porites,grow,none
166,170,149,2.9775,3.7075,Porites_porites,grow,none
190,194,171,2.14,2.69,Porites_porites,grow,n/s
196,200,176,1.69,3.8275,Porites_porites,grow,n/s
197,201,175,3.315,6.395,Porites_porites,grow,none
223,227,194,14.755,15.59,Orbicella_annularis,grow,none
70,72,64,1.78,5.8175,Porites_porites,n/s,fuse
70,73,64,2.1,5.8175,Porites_porites,n/s,fuse
70,79,64,2.57,5.8175,Porites_porites,n/s,fuse
10,10,6,4.295,4.39,Montastrea_cavernosa,same,none
17,18,12,3.875,4.0525,Montastrea_cavernosa,same,none
30,31,25,3.95,4.0275,Montastrea_cavernosa,same,none
36,37,31,2.3475,2.4375,Montastrea_cavernosa,same,none
37,38,32,18.3925,19.2725,Orbicella_annularis,same,none
38,39,33,21.4925,21.8625,Orbicella_annularis,same,none
40,41,35,9.265,9.105,Unidentified_coral,same,none
50,52,45,3.5775,3.7475,Porites_porites,same,none
61,63,56,27.205,26.65,Orbicella_annularis,same,none
63,65,58,10.075,9.9025,Porites_porites,same,none
64,66,59,24.035,23.3575,Orbicella_annularis,same,none
65,67,60,1.4825,1.4175,Porites_porites,same,none
