Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2115,-1,1070,0.0,7.1825,Orbicella_annularis,born,n/s
2117,-1,1074,0.0,2.4225,Orbicella_annularis,born,none
2118,-1,1075,0.0,2.3975,Orbicella_annularis,born,none
595,-1,1290,0.0,7.005,Orbicella_franksi,born,none
458,475,-1,0.32,0.0,Orbicella_annularis,dead,none
523,541,-1,2.3425,0.0,Orbicella_annularis,dead,none
563,585,-1,0.4025,0.0,Orbicella_annularis,dead,none
727,767,-1,12.3675,0.0,Acropora_palmata,dead,none
732,772,-1,11.3875,0.0,Acropora_palmata,dead,none
733,773,-1,12.9875,0.0,Acropora_palmata,dead,none
737,777,-1,17.8025,0.0,Acropora_palmata,dead,none
740,780,-1,18.47,0.0,Acropora_palmata,dead,none
742,782,-1,10.745,0.0,Acropora_palmata,dead,none
749,789,-1,8.6125,0.0,Acropora_palmata,dead,none
754,794,-1,16.5075,0.0,Acropora_palmata,dead,none
759,800,-1,9.605,0.0,Acropora_palmata,dead,none
760,801,-1,14.3475,0.0,Acropora_palmata,dead,none
764,806,-1,14.895,0.0,Acropora_palmata,dead,none
767,810,-1,14.5,0.0,Acropora_palmata,dead,none
784,827,-1,12.83,0.0,Acropora_palmata,dead,none
792,835,-1,23.0,0.0,Acropora_palmata,dead,none
793,836,-1,10.1225,0.0,Acropora_palmata,dead,none
801,844,-1,21.665,0.0,Acropora_palmata,dead,none
806,849,-1,12.4925,0.0,Acropora_palmata,dead,none
810,853,-1,9.1425,0.0,Acropora_palmata,dead,none
982,1035,-1,2.4275,0.0,Acropora_cervicornis,dead,none
985,1038,-1,6.8975,0.0,Acropora_cervicornis,dead,none
1109,1162,-1,35.045,0.0,Acropora_palmata,dead,none
1111,1164,-1,11.025,0.0,Acropora_palmata,dead,none
1117,1170,-1,11.3425,0.0,Acropora_palmata,dead,none
1120,1173,-1,9.2525,0.0,Acropora_palmata,dead,none
1127,1180,-1,16.4875,0.0,Acropora_palmata,dead,none
1132,1185,-1,12.7375,0.0,Acropora_palmata,dead,none
4,4,3,3.345,3.84,Orbicella_annularis,grow,n/s
5,5,2,1.9875,2.295,Orbicella_annularis,grow,n/s
8,8,6,3.2425,4.1525,Orbicella_annularis,grow,n/s
8,12,9,3.32,4.29,Orbicella_annularis,grow,n/s
10,13,10,1.2175,1.6375,Orbicella_annularis,grow,n/s
47,50,48,1.4275,1.7075,Orbicella_annularis,grow,n/s
50,53,52,1.385,1.6825,Orbicella_annularis,grow,n/s
51,54,51,2.3975,2.605,Orbicella_annularis,grow,n/s
52,55,53,4.88,5.17,Orbicella_annularis,grow,n/s
50,56,54,3.7975,4.12,Orbicella_annularis,grow,n/s
53,57,55,3.2125,3.4025,Orbicella_annularis,grow,n/s
50,58,56,5.425,6.215,Orbicella_annularis,grow,n/s
55,60,58,2.29,2.555,Orbicella_annularis,grow,n/s
