Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
63,0,0,4.255,4.7325,Orbicella_sp.,grow,n/s
64,1,1,2.92,3.1825,Orbicella_sp.,grow,n/s
3,29,28,4.3675,4.6625,Orbicella_franksi,grow,n/s
6,36,34,3.69,4.105,Orbicella_franksi,grow,n/s
9,38,37,5.7575,6.5925,Orbicella_franksi,grow,n/s
14,45,42,2.9125,4.4375,Orbicella_franksi,grow,n/s
18,50,48,3.3275,3.5775,Orbicella_annularis,grow,n/s
22,61,59,3.35,3.9625,Orbicella_annularis,grow,n/s
21,71,69,4.905,5.3525,Orbicella_annularis,grow,n/s
25,72,68,7.0525,7.51,Orbicella_annularis,grow,n/s
26,73,70,2.565,2.7175,Orbicella_annularis,grow,n/s
27,74,71,4.0175,4.5225,Orbicella_annularis,grow,n/s
28,76,75,8.615,9.315,Orbicella_annularis,grow,n/s
29,77,73,1.185,1.2625,Orbicella_annularis,grow,n/s
31,80,77,10.51,11.1625,Orbicella_annularis,grow,n/s
32,81,72,272.8425,304.465,Acropora_palmata,grow,n/s
33,83,80,3.255,3.6275,Orbicella_annularis,grow,n/s
34,86,81,4.065,4.4875,Orbicella_annularis,grow,n/s
36,89,86,1.7125,1.9775,Orbicella_annularis,grow,n/s
40,115,114,5.2375,5.7525,Orbicella_franksi,grow,n/s
41,116,115,5.435,6.105,Orbicella_franksi,grow,n/s
44,120,117,4.4675,5.0525,Orbicella_franksi,grow,n/s
45,121,120,5.915,6.565,Orbicella_franksi,grow,n/s
46,123,122,4.5025,5.2675,Orbicella_franksi,grow,n/s
47,132,131,5.5475,6.1125,Orbicella_annularis,grow,n/s
53,177,176,6.5525,7.725,Orbicella_annularis,grow,n/s
52,179,177,6.5125,6.8875,Orbicella_annularis,grow,n/s
54,181,179,5.9875,7.3075,Orbicella_annularis,grow,n/s
55,183,181,9.1725,9.9625,Orbicella_faveolata,grow,n/s
56,184,182,5.2875,5.9225,Orbicella_faveolata,grow,n/s
57,187,185,6.4775,7.2125,Orbicella_faveolata,grow,n/s
59,189,187,22.0525,23.5825,Acropora_palmata,grow,n/s
60,190,188,26.4,27.7475,Acropora_palmata,grow,n/s
61,191,189,13.925,16.77,Acropora_palmata,grow,n/s
62,192,190,15.55,17.1675,Acropora_palmata,grow,n/s
21,60,58,4.3125,27.9275,Orbicella_annularis,n/s,fuse
21,63,58,16.8725,27.9275,Orbicella_annularis,n/s,fuse
21,64,58,3.8625,27.9275,Orbicella_annularis,n/s,fuse
52,176,175,4.675,12.8175,Orbicella_annularis,n/s,fuse
52,178,175,6.3775,12.8175,Orbicella_annularis,n/s,fuse
2,28,27,5.5075,5.26,Orbicella_franksi,same,n/s
4,31,31,5.385,5.3725,Orbicella_franksi,same,n/s
5,32,32,4.795,4.575,Orbicella_franksi,same,n/s
8,37,36,5.435,5.6775,Orbicella_franksi,same,n/s
11,40,38,4.435,4.375,Orbicella_franksi,same,n/s
13,42,40,3.545,3.44,Orbicella_franksi,same,n/s
16,47,45,9.0725,8.9725,Orbicella_annularis,same,n/s
19,52,49,6.845,6.6375,Orbicella_annularis,same,n/s
19,53,51,2.7925,2.9175,Orbicella_annularis,same,n/s
20,54,52,5.445,5.6525,Orbicella_annularis,same,n/s
25,78,76,3.0775,2.985,Orbicella_annularis,same,n/s
35,88,84,0.6225,0.645,Orbicella_annularis,same,n/s
39,113,113,5.825,6.0425,Orbicella_franksi,same,n/s
42,117,116,6.49,6.6775,Orbicella_franksi,same,n/s
48,133,132,2.22,2.1775,Orbicella_annularis,same,n/s
49,135,134,6.345,6.13,Orbicella_annularis,same,n/s
51,137,136,6.9875,7.0425,Orbicella_annularis,same,n/s
24,70,67,0.7675,0.6125,Orbicella_annularis,shrink,n/s
38,114,112,5.8125,4.39,Orbicella_franksi,shrink,n/s
43,119,118,6.1875,5.65,Orbicella_franksi,shrink,n/s
50,136,135,5.3025,4.335,Orbicella_annularis,shrink,n/s
58,188,186,20.9375,18.3825,Acropora_palmata,shrink,n/s
