Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,0,0,20.78,22.9475,Orbicella_annularis,grow,n/s
2,2,2,7.39,8.58,Porites_porites,grow,n/s
3,3,3,9.575,10.27,Porites_porites,grow,n/s
6,5,6,13.28,15.71,Porites_porites,grow,n/s
12,6,12,12.04,13.705,Orbicella_annularis,grow,n/s
10,9,10,5.06,8.255,Porites_porites,grow,n/s
11,10,11,8.87,11.6975,Porites_porites,grow,n/s
13,12,13,14.7225,15.4625,Orbicella_annularis,grow,n/s
15,14,15,11.8025,14.35,Porites_porites,grow,n/s
16,15,16,27.4775,31.6525,Orbicella_annularis,grow,n/s
18,17,18,10.115,12.9025,Porites_porites,grow,n/s
19,18,19,19.025,23.4475,Orbicella_annularis,grow,n/s
20,19,20,13.935,15.1475,Orbicella_annularis,grow,n/s
4,20,4,24.2075,26.68,Orbicella_annularis,grow,n/s
1,1,1,11.145,11.6525,Orbicella_annularis,same,n/s
5,4,5,10.39,10.4375,Porites_porites,same,n/s
9,8,9,10.2725,9.9975,Porites_porites,same,n/s
14,13,14,12.01,12.1275,Porites_porites,same,n/s
17,16,17,10.8575,10.92,Porites_porites,same,n/s
7,7,7,13.46,11.8725,Porites_porites,shrink,n/s
8,11,8,14.86,11.995,Porites_porites,shrink,n/s
