Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
4,4,20,22.4125,24.2075,Orbicella_annularis,grow,n/s
6,6,5,12.225,13.28,Porites_porites,grow,n/s
14,14,13,11.0075,12.01,Porites_porites,grow,n/s
15,15,14,11.11,11.8025,Porites_porites,grow,n/s
16,16,15,25.25,27.4775,Orbicella_annularis,grow,n/s
17,17,16,10.06,10.8575,Porites_porites,grow,n/s
0,0,0,21.6825,20.78,Orbicella_annularis,same,n/s
5,5,4,10.4125,10.39,Porites_porites,same,n/s
7,7,7,13.0025,13.46,Porites_porites,same,n/s
8,8,11,14.35,14.86,Porites_porites,same,n/s
9,9,8,10.075,10.2725,Porites_porites,same,n/s
11,11,10,9.1475,8.87,Porites_porites,same,n/s
13,13,12,14.3325,14.7225,Orbicella_annularis,same,n/s
19,19,18,18.795,19.025,Orbicella_annularis,same,n/s
20,20,19,13.7175,13.935,Orbicella_annularis,same,n/s
1,1,1,11.925,11.145,Orbicella_annularis,shrink,n/s
2,2,2,8.34,7.39,Porites_porites,shrink,n/s
3,3,3,10.2125,9.575,Porites_porites,shrink,n/s
10,10,9,8.535,5.06,Porites_porites,shrink,n/s
12,12,6,13.575,12.04,Porites_porites,shrink,n/s
18,18,17,13.2475,10.115,Porites_porites,shrink,n/s
