Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2,1,1,13.1675,14.1125,Orbicella_annularis,grow,n/s
3,2,2,12.1575,13.5075,Porites_porites,grow,n/s
4,3,3,11.0675,13.1,Porites_porites,grow,n/s
6,5,5,9.3025,10.035,Porites_porites,grow,n/s
8,7,7,8.7775,11.1775,Porites_porites,grow,n/s
11,10,10,11.29,12.89,Orbicella_annularis,grow,n/s
12,12,12,9.5075,11.01,Porites_porites,grow,n/s
14,13,13,11.085,11.995,Porites_porites,grow,n/s
19,18,18,10.67,11.2075,Orbicella_annularis,grow,n/s
20,19,19,20.0225,23.03,Orbicella_annularis,grow,n/s
0,20,20,10.0425,10.7475,Porites_porites,grow,n/s
1,0,0,10.2225,10.645,Porites_porites,same,n/s
16,15,15,17.7775,18.665,Orbicella_annularis,same,n/s
17,16,16,16.89,17.0075,Orbicella_annularis,same,n/s
18,17,17,14.57,14.475,Orbicella_annularis,same,n/s
5,4,4,9.7675,8.865,Porites_porites,shrink,n/s
9,8,8,11.2575,10.025,Porites_porites,shrink,n/s
10,9,9,23.1125,19.94,Orbicella_annularis,shrink,n/s
13,11,11,10.745,9.65,Porites_porites,shrink,n/s
15,14,14,10.045,9.0475,Porites_porites,shrink,n/s
