Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
4,4,-1,8.9175,0.0,Orbicella_annularis,dead,none
14,14,-1,18.7525,0.0,Orbicella_annularis,dead,none
7,7,9,26.3725,28.805,Orbicella_annularis,grow,n/s
31,12,16,15.0375,21.485,Orbicella_annularis,grow,n/s
13,13,14,19.4875,21.8075,Orbicella_annularis,grow,n/s
19,19,22,6.4525,7.685,Porites_porites,grow,n/s
20,20,23,9.7725,10.9025,Porites_porites,grow,n/s
21,21,24,5.0275,5.2875,Porites_porites,grow,n/s
22,22,25,4.6,4.9825,Porites_porites,grow,n/s
27,27,30,34.7775,37.9175,Orbicella_annularis,grow,n/s
28,28,31,21.84,23.61,Orbicella_annularis,grow,n/s
18,18,20,25.415,10.0325,Porites_porites,n/s,split
18,18,21,25.415,10.55,Porites_porites,n/s,split
5,5,7,12.5275,12.5975,Orbicella_annularis,same,n/s
8,8,10,24.2475,23.8,Orbicella_annularis,same,n/s
9,9,11,19.095,19.3125,Orbicella_annularis,same,n/s
26,26,29,4.9275,5.06,Porites_porites,same,n/s
0,0,0,18.0475,16.8225,Orbicella_annularis,shrink,n/s
1,1,2,4.33,3.3325,Porites_porites,shrink,n/s
2,2,3,1.805,0.565,Porites_porites,shrink,n/s
3,3,4,12.075,9.3575,Porites_porites,shrink,n/s
6,6,8,19.66,18.205,Orbicella_annularis,shrink,n/s
10,10,12,11.98,10.1825,Porites_porites,shrink,n/s
11,11,13,14.945,12.4375,Porites_porites,shrink,n/s
15,15,17,11.05,10.3825,Orbicella_annularis,shrink,n/s
16,16,18,7.885,6.0725,Porites_porites,shrink,n/s
17,17,19,9.635,7.8325,Porites_porites,shrink,n/s
23,23,26,5.365,4.4375,Porites_porites,shrink,n/s
24,24,27,10.18,9.5525,Porites_porites,shrink,n/s
25,25,28,10.585,9.4725,Porites_porites,shrink,n/s
29,29,32,11.21,5.37,Porites_porites,shrink,n/s
30,30,33,10.0775,7.015,Porites_porites,shrink,n/s
