source,active_path,raw_rows,sha256
/Users/spencerparr/Downloads/0-0/0-0_Coki_PlotA_Matches_20251114_20260421.csv,data_raw/taglab/Plot_A/0-0_Coki_PlotA_Matches_20251114_20260421.csv,24,180b7b59439e92e889b73bf7004b94ccbe66f81154ce94648107e007f686e7bf
/Users/spencerparr/Downloads/0-0/0-0_Coki_PlotA_Matches_20260421_20260622.csv,data_raw/taglab/Plot_A/0-0_Coki_PlotA_Matches_20260421_20260622.csv,24,8340a9411831ef01ae37707330736ffa440e8c295def9e5580f63c7e91f28351
/Users/spencerparr/Downloads/0-0/0-0_Coki_PlotA_Matches_20260622_20260812.csv,data_raw/taglab/Plot_A/0-0_Coki_PlotA_Matches_20260622_20260812.csv,24,1b86446704716b808aea7bf883c341a3ec24f69d94a2f28275689231a802da85
/Users/spencerparr/Downloads/Matches/Plot A/1-0/1-0_Coki_PlotA_Survivorship_20251114_1-0-Coki_PlotA_Survivorship_20260421_1-0.csv,data_raw/taglab/Plot_A/1-0_Coki_PlotA_Survivorship_20251114_1-0-Coki_PlotA_Survivorship_20260421_1-0.csv,19,6610a781530665171c8fb56d30bb747e07bea20ed53a99b68a49ef37332a968e
/Users/spencerparr/Downloads/Matches/Plot A/1-0/1-0_Coki_PlotA_Survivorship_20260421_1-0-Coki_PlotA_Survivorship_20260622_1-0.csv,data_raw/taglab/Plot_A/1-0_Coki_PlotA_Survivorship_20260421_1-0-Coki_PlotA_Survivorship_20260622_1-0.csv,19,aa0eee254ff181961d8590c165b8d876815dab6006bb732cd178fb9392ffa862
/Users/spencerparr/Downloads/Matches/Plot A/1-0/1-0_Coki_PlotA_Survivorship_20260622_1-0-Coki_PlotA_Survivorship_20260812_1-0.csv,data_raw/taglab/Plot_A/1-0_Coki_PlotA_Survivorship_20260622_1-0-Coki_PlotA_Survivorship_20260812_1-0.csv,19,f31fde54f78b248308864cfa15192f8b31f1515878ceb716f36cbdf5e2a4b5d0
/Users/spencerparr/Downloads/Matches/Plot B/0-0/0-0_PlotB_Matches_20251103_20260422.csv,data_raw/taglab/Plot_B/0-0_PlotB_Matches_20251103_20260422.csv,22,d176b40214d46cc7acaf896b822f061c11e7f8cfe1770310c8bc22981bcc446d
/Users/spencerparr/Downloads/Matches/Plot B/0-0/0-0_PlotB_Matches_20260422_20260609.csv,data_raw/taglab/Plot_B/0-0_PlotB_Matches_20260422_20260609.csv,54,128ee910fd529443a510697ceb83bd615b6cf59f3c741b1ca714af20435f30d1
/Users/spencerparr/Downloads/Matches/Plot B/0-0/0-0_PlotB_Matches_20260609_20260807.csv,data_raw/taglab/Plot_B/0-0_PlotB_Matches_20260609_20260807.csv,54,30bf155c40b8b61099dc86d7968da5a1c3906795cd8e87c00453620df2ddfadc
/Users/spencerparr/Downloads/Matches/Plot B/1-0/1-0_PlotB_Matches_20251103_20260422.csv,data_raw/taglab/Plot_B/1-0_PlotB_Matches_20251103_20260422.csv,21,8e553761eca96748b8961974e7d86d3be2f1dc76667cf0f9c83dbcb8ba960a8a
/Users/spencerparr/Downloads/Matches/Plot B/1-0/1-0_PlotB_Matches_20260422_20260609.csv,data_raw/taglab/Plot_B/1-0_PlotB_Matches_20260422_20260609.csv,21,06da7c874aec2486569e0041169f5e9154839f889829968c52cbe19abe5bdcd1
/Users/spencerparr/Downloads/Matches/Plot B/1-0/1-0_PlotB_Matches_20260609_20260807.csv,data_raw/taglab/Plot_B/1-0_PlotB_Matches_20260609_20260807.csv,21,9f30c7a970496f53d50196bf9c361bb398586155fb84ae523051188ae53583f8
/Users/spencerparr/Downloads/Matches/Plot C/0-0/0-0_Coki_PlotC_Matches_20251103_20260403.csv,data_raw/taglab/Plot_C/0-0_Coki_PlotC_Matches_20251103_20260403.csv,344,49235f024d2a6e687bd11c83427480952db3247bd4608d299587e8f7d2016071
/Users/spencerparr/Downloads/Matches/Plot C/0-0/0-0_Coki_PlotC_Matches_20260403_20260606.csv,data_raw/taglab/Plot_C/0-0_Coki_PlotC_Matches_20260403_20260606.csv,342,ecefddc62b972f2540edfc33f2f30a4460c8ee30bab7cae5d6d44e345917dc25
/Users/spencerparr/Downloads/Matches/Plot C/0-0/0-0_Coki_PlotC_Matches_20260606_20260805.csv,data_raw/taglab/Plot_C/0-0_Coki_PlotC_Matches_20260606_20260805.csv,300,f05e2b6a778531b0fdb66cc492406bcaeee2cdd90eb4187f3f9ce20841a5d972
/Users/spencerparr/Downloads/Matches/Plot C/1-0/1-0_Coki_PlotC_Matches_20251103_20260403.csv,data_raw/taglab/Plot_C/1-0_Coki_PlotC_Matches_20251103_20260403.csv,253,2b4ff620f3aabeaf15689ab0411eefd249a0eafae85440df16892baed581521b
/Users/spencerparr/Downloads/Matches/Plot C/1-0/1-0_Coki_PlotC_Matches_20260403_20260606.csv,data_raw/taglab/Plot_C/1-0_Coki_PlotC_Matches_20260403_20260606.csv,238,78dc254cca30e4343d77618db9dda146e0280a7301d409727f9c38610641d1c2
/Users/spencerparr/Downloads/Matches/Plot C/1-0/1-0_Coki_PlotC_Survivorship_20260606_20260805.csv,data_raw/taglab/Plot_C/1-0_Coki_PlotC_Survivorship_20260606_20260805.csv,249,b58297b4d4000b3ccd56bf91bb65c5bf19b9c86dc8c2eb91fee145078bd9fe6d
/Users/spencerparr/Downloads/Matches/Plot D/0-0/0-0_Coki_PlotD_Matches_20251105_20260416.csv,data_raw/taglab/Plot_D/0-0_Coki_PlotD_Matches_20251105_20260416.csv,234,d533fd2b271c3f27d8d7d17e1e293d8088918dee24f053a8a9edb2430e46dfc9
/Users/spencerparr/Downloads/Matches/Plot D/0-0/0-0_Coki_PlotD_Matches_20260416_20260608.csv,data_raw/taglab/Plot_D/0-0_Coki_PlotD_Matches_20260416_20260608.csv,234,616426dc032d70415f40ae448833fbf65bd2509232673be8431ec9f6802f2ab5
/Users/spencerparr/Downloads/Matches/Plot D/0-1/0-1_Coki_PlotD_Matches_20251105_20260416.csv,data_raw/taglab/Plot_D/0-1_Coki_PlotD_Matches_20251105_20260416.csv,1,97509a9d489b2cd27625a48fb502373ad07f6b935150e8b790c893f574283d96
/Users/spencerparr/Downloads/Matches/Plot D/0-1/0-1_Coki_PlotD_Matches_20260416_20260608.csv,data_raw/taglab/Plot_D/0-1_Coki_PlotD_Matches_20260416_20260608.csv,1,86fa9f1350bdd53959b6d68d129c6ead5c0a78586983fb723172c6870a2a2028
/Users/spencerparr/Downloads/Matches/Plot D/1-0/1-0_Coki_PlotD_Matches_20251105_20260416.csv,data_raw/taglab/Plot_D/1-0_Coki_PlotD_Matches_20251105_20260416.csv,101,22655aac2d452f59a74a9837c2f0a23fcd296b663c653b32160d7138b884a395
/Users/spencerparr/Downloads/Matches/Plot D/1-0/1-0_Coki_PlotD_Matches_20260416_20260608.csv,data_raw/taglab/Plot_D/1-0_Coki_PlotD_Matches_20260416_20260608.csv,101,9456c732d20e223111f381c2a51ab052b67896c4e0c19c0f0927126cecda2839
/Users/spencerparr/Downloads/Matches/Plot G/0-0/0-0_Coki_PlotG_Matches_20251107_20260424.csv,data_raw/taglab/Plot_G/0-0_Coki_PlotG_Matches_20251107_20260424.csv,21,a0c0b9446134d067e4b3ca07138b1e9cb1aa3eb58f934c0383ec7481db0a0a10
/Users/spencerparr/Downloads/Matches/Plot G/0-0/0-0_Coki_PlotG_Matches_20260424_20260526.csv,data_raw/taglab/Plot_G/0-0_Coki_PlotG_Matches_20260424_20260526.csv,21,603f3b6005ff813bda8ba7780b996fc2f88f814cd4d9ad3ae2f3434ab0cb0e10
/Users/spencerparr/Downloads/Matches/Plot G/0-0/0-0_Coki_PlotG_Matches_20260526_20260813.csv,data_raw/taglab/Plot_G/0-0_Coki_PlotG_Matches_20260526_20260813.csv,21,e21d20cb176d0d636e931187e71ec1d73bb4f4e4dc7fe371553ef17e3f96c2c3
/Users/spencerparr/Downloads/Matches/Plot G/0-1/0-1_Coki_PlotG_Matches_20251107_20260424.csv,data_raw/taglab/Plot_G/0-1_Coki_PlotG_Matches_20251107_20260424.csv,3,a6ccf61a62009ed211e9622269dcca664c33b6ed26d32d4e265ec9b93b4f98c5
/Users/spencerparr/Downloads/Matches/Plot G/0-1/0-1_Coki_PlotG_Matches_20260424_20260526.csv,data_raw/taglab/Plot_G/0-1_Coki_PlotG_Matches_20260424_20260526.csv,3,c148d83c009c96933483663e03d738a1cba17cfb96cc9fea38c3041029609ba1
/Users/spencerparr/Downloads/Matches/Plot G/0-1/0-1_Coki_PlotG_Matches_20260526_20260813.csv,data_raw/taglab/Plot_G/0-1_Coki_PlotG_Matches_20260526_20260813.csv,3,e4908fa96f704617a4777b71e126a8bcdcb00709ede2e777ea0df4014ab8e20c
/Users/spencerparr/Downloads/Matches/Plot G/1-0/1-0_Coki_PlotG_20260526_1-0-Coki_PlotG_20260813_1-0.csv,data_raw/taglab/Plot_G/1-0_Coki_PlotG_20260526_1-0-Coki_PlotG_20260813_1-0.csv,20,719a5da0a25aaa582ca24c00522af0e488538edb3e43e7b6209d080764781b97
/Users/spencerparr/Downloads/Matches/Plot G/1-0/1-0_Coki_PlotG_Matches_20251107_20260424.csv,data_raw/taglab/Plot_G/1-0_Coki_PlotG_Matches_20251107_20260424.csv,21,3fd6ea69789608d91b744d8a535249cc9401f53e776d21d72bcf7bb393ded214
/Users/spencerparr/Downloads/Matches/Plot G/1-0/1-0_Coki_PlotG_Matches_20260424_20260526.csv,data_raw/taglab/Plot_G/1-0_Coki_PlotG_Matches_20260424_20260526.csv,21,2d2d55d8cd29dc0e710482ac192f9acfc88dd95f4ed5d7cd67e83a007d04155b
/Users/spencerparr/Downloads/Matches/Plot H/0-0/0-0_Coki_PlotH_Matches_20251107_20260424.csv,data_raw/taglab/Plot_H/0-0_Coki_PlotH_Matches_20251107_20260424.csv,8,6b20522649a284670e7520a8c015f544b2c387bcba2e0e5c3994b02b6b16f390
/Users/spencerparr/Downloads/Matches/Plot H/0-0/0-0_Coki_PlotH_Matches_20260424_20260525.csv,data_raw/taglab/Plot_H/0-0_Coki_PlotH_Matches_20260424_20260525.csv,8,cf306daf56812d9a1b13134265d87aed8fd9c95367e8134d47117fc452b9d0e3
/Users/spencerparr/Downloads/Matches/Plot H/0-0/0-0_Coki_PlotH_Matches_20260525_20260813.csv,data_raw/taglab/Plot_H/0-0_Coki_PlotH_Matches_20260525_20260813.csv,8,615bd1995351e0a5b0d28acc8a5563a435b521bc8167e230793ece7a5555f752
/Users/spencerparr/Downloads/Matches/Plot H/0-1/0-1_Coki_PlotH_20251107_0-1-Coki_PlotH_20260424_0-1.csv,data_raw/taglab/Plot_H/0-1_Coki_PlotH_20251107_0-1-Coki_PlotH_20260424_0-1.csv,3,548d74654f5859277381bd718e7f747014d3bf2149dd2f6780d347cc7d14734f
/Users/spencerparr/Downloads/Matches/Plot H/0-1/0-1_Coki_PlotH_20260424_0-1-Coki_PlotH_20260525_0-1.csv,data_raw/taglab/Plot_H/0-1_Coki_PlotH_20260424_0-1-Coki_PlotH_20260525_0-1.csv,3,d3b0fedb1ba32d624561b0c8d96687e213f64137299354150931d7c909189471
