plot,survey_date,source_file,plot_section,n_annotation_rows,n_unique_annotation_ids,n_unique_genet_ids,total_annotated_area_m2,genet_id_warning
Plot E,2025-07-24,07.24.25 Data.xlsx,0-0,815,815,743,2.1153929999999983,FALSE
Plot E,2025-07-24,07.24.25 Data.xlsx,0-1,606,606,594,1.0621959999999995,FALSE
Plot E,2025-07-24,07.24.25 Data.xlsx,1-0,1239,1239,1234,2.931636999999994,FALSE
Plot E,2025-07-24,07.24.25 Data.xlsx,1-1,205,205,73,0.2270870000000001,FALSE
Plot E,2025-08-04,08.04.25 Data.xlsx,0-0,793,793,793,2.062183999999998,FALSE
Plot E,2025-08-04,08.04.25 Data.xlsx,0-1,604,604,604,1.0494739999999994,FALSE
Plot E,2025-08-04,08.04.25 Data.xlsx,1-0,1214,1214,1213,2.843233000000001,FALSE
Plot E,2025-08-04,08.04.25 Data.xlsx,1-1,200,200,200,0.224951,FALSE
Plot E,2025-09-08,09.08.2025 Data.xlsx,0-0,790,790,433,2.1090050000000007,FALSE
Plot E,2025-09-08,09.08.2025 Data.xlsx,0-1,613,613,504,1.0982130000000008,FALSE
Plot E,2025-09-08,09.08.2025 Data.xlsx,1-0,1195,1195,1143,2.9487029999999996,FALSE
Plot E,2025-09-08,09.08.2025 Data.xlsx,1-1,197,197,192,0.232172,FALSE
Plot E,2025-10-14,10.14.2025 Data.xlsx,0-0,759,759,741,2.1058009999999983,FALSE
Plot E,2025-10-14,10.14.2025 Data.xlsx,0-1,604,604,604,1.1374700000000002,FALSE
Plot E,2025-10-14,10.14.2025 Data.xlsx,1-0,1155,1155,1149,2.950198000000005,FALSE
Plot E,2025-10-14,10.14.2025 Data.xlsx,1-1,186,186,107,0.23202799999999998,FALSE
Plot E,2025-11-06,11.06.2025 Data.xlsx,0-0,753,753,753,2.0108790000000005,FALSE
Plot E,2025-11-06,11.06.2025 Data.xlsx,0-1,600,600,595,1.1106800000000006,FALSE
Plot E,2025-11-06,11.06.2025 Data.xlsx,1-0,1166,1166,855,2.912333,FALSE
Plot E,2025-11-06,11.06.2025 Data.xlsx,1-1,187,187,187,0.23206200000000005,FALSE
Plot E,2025-12-04,12.04.2025 Data.xlsx,0-0,711,711,569,2.061117999999998,FALSE
Plot E,2025-12-04,12.04.2025 Data.xlsx,0-1,572,572,448,1.1270020000000007,FALSE
Plot E,2025-12-04,12.04.2025 Data.xlsx,1-0,1065,1065,1030,2.819743999999995,FALSE
Plot E,2025-12-04,12.04.2025 Data.xlsx,1-1,183,183,138,0.237596,FALSE
