plot,survey_date,species,plot_area_m2,n_annotations,species_area_m2,percent_plot_cover,percent_of_coral_cover
Plot E,2025-07-24,Acropora cervicornis,480,19,0.042974999999999985,0.008953124999999998,0.6782335405463714
Plot E,2025-07-24,Acropora palmata,480,72,0.19552899999999998,0.04073520833333333,3.0858481896333094
Plot E,2025-07-24,Agaricia agaricites,480,11,0.008444999999999998,0.0017593749999999997,0.1332794008124283
Plot E,2025-07-24,Agaricia humilis,480,8,0.007856,0.0016366666666666667,0.12398377416014648
Plot E,2025-07-24,Agaricia sp.,480,20,0.011087000000000001,0.002309791666666667,0.1749755733342088
Plot E,2025-07-24,Colpophyllia natans,480,1,6.48e-4,1.35e-4,0.010226767522374608
Plot E,2025-07-24,Dendrogyra cylindrus,480,2,0.002614,5.445833333333333e-4,0.041254275159702515
Plot E,2025-07-24,Diploria labyrinthiformis,480,7,0.021332999999999998,0.0044443749999999995,0.3366784437574344
Plot E,2025-07-24,Eusmilia fastigiata,480,15,0.01847,0.0038479166666666666,0.2914944384849676
Plot E,2025-07-24,Favia fragum,480,85,0.019867999999999993,0.004139166666666665,0.313557742491572
Plot E,2025-07-24,Madracis decactis,480,130,0.2227829999999999,0.04641312499999998,3.5159721434215765
Plot E,2025-07-24,Madracis sp.,480,1,0.0020559999999999997,4.283333333333333e-4,0.032447892015435485
Plot E,2025-07-24,Manicina areolata,480,1,0.0012640000000000001,2.6333333333333336e-4,0.019948509488088743
Plot E,2025-07-24,Meandrina meandrites,480,1,0.001186,2.470833333333333e-4,0.018717509693728835
Plot E,2025-07-24,Montastrea cavernosa,480,90,0.6045619999999998,0.12595041666666662,9.541226893305302
Plot E,2025-07-24,Orbicella annularis,480,391,0.32613200000000003,0.06794416666666668,5.147031088899809
Plot E,2025-07-24,Orbicella faveolata,480,161,0.575136,0.11982,9.076824329858708
Plot E,2025-07-24,Orbicella franksi,480,229,1.421316,0.29610749999999997,22.431278252826218
Plot E,2025-07-24,Orbicella sp.,480,83,0.22331800000000002,0.046524583333333334,3.5244155394469954
Plot E,2025-07-24,Porites astreoides,480,859,1.2581649999999993,0.2621177083333332,19.856421234241424
Plot E,2025-07-24,Porites porites,480,42,0.045516,0.009482500000000001,0.7183357261549425
Plot E,2025-07-24,Pseudodiploria strigosa,480,8,0.072648,0.015135000000000001,1.1465342700084422
Plot E,2025-07-24,Scolymia sp.,480,1,7.14e-4,1.4875e-4,0.011268382732986838
Plot E,2025-07-24,Siderastrea radians,480,190,0.15362899999999993,0.03200604166666665,2.424580351381
Plot E,2025-07-24,Siderastrea siderea,480,268,0.9161769999999997,0.19087020833333326,14.459149982016356
Plot E,2025-07-24,Stephanocoenia intercepta,480,39,0.138151,0.028781458333333333,2.1803058024437876
Plot E,2025-07-24,Unidentified coral,480,131,0.04473500000000004,0.009319791666666676,0.7060099461626983
Plot E,2025-08-04,Acropora cervicornis,480,16,0.04043799999999999,0.00842458333333333,0.654353299000201
Plot E,2025-08-04,Acropora palmata,480,69,0.21116000000000004,0.04399166666666667,3.4169158370068375
Plot E,2025-08-04,Agaricia agaricites,480,10,0.007033999999999999,0.0014654166666666663,0.11382168023065962
Plot E,2025-08-04,Agaricia humilis,480,8,0.007921,0.0016502083333333332,0.12817479799645365
Plot E,2025-08-04,Agaricia sp.,480,20,0.010404000000000002,0.0021675000000000006,0.1683538187545896
Plot E,2025-08-04,Colpophyllia natans,480,1,6.06e-4,1.2625e-4,0.009806075948220038
Plot E,2025-08-04,Dendrogyra cylindrus,480,2,0.002613,5.443749999999999e-4,0.04228263441039432
Plot E,2025-08-04,Diploria labyrinthiformis,480,7,0.021691000000000002,0.004518958333333334,0.35099602870105756
Plot E,2025-08-04,Eusmilia fastigiata,480,16,0.019166,0.003992916666666666,0.3101373789168073
Plot E,2025-08-04,Favia fragum,480,87,0.020747999999999996,0.004322499999999999,0.3357367389004444
Plot E,2025-08-04,Madracis decactis,480,131,0.20673999999999998,0.04307083333333333,3.3453929728300507
Plot E,2025-08-04,Madracis sp.,480,1,0.00253,5.270833333333333e-4,0.04093955800164471
Plot E,2025-08-04,Manicina areolata,480,1,0.002561,5.335416666666666e-4,0.041441188949490955
Plot E,2025-08-04,Meandrina meandrites,480,1,0.001301,2.7104166666666666e-4,0.02105231816606315
Plot E,2025-08-04,Montastrea cavernosa,480,87,0.5814909999999999,0.12114395833333332,9.409480048195409
Plot E,2025-08-04,Orbicella annularis,480,371,0.32160999999999995,0.06700208333333332,5.204178359252551
Plot E,2025-08-04,Orbicella faveolata,480,154,0.5675799999999999,0.11824583333333331,9.184377205760278
Plot E,2025-08-04,Orbicella franksi,480,220,1.3818059999999994,0.2878762499999999,22.359892049020022
Plot E,2025-08-04,Orbicella sp.,480,88,0.20848299999999997,0.04343395833333333,3.373597577413792
Plot E,2025-08-04,Porites astreoides,480,852,1.2225960000000005,0.2547075000000001,19.783612590742624
Plot E,2025-08-04,Porites porites,480,48,0.04439400000000002,0.009248750000000003,0.7183678806027732
Plot E,2025-08-04,Pseudodiploria strigosa,480,7,0.070405,0.014667708333333333,1.1392686091327258
Plot E,2025-08-04,Siderastrea radians,480,196,0.140464,0.029263333333333332,2.2729383696217482
Plot E,2025-08-04,Siderastrea siderea,480,267,0.9230810000000002,0.1923085416666667,14.936967644156605
Plot E,2025-08-04,Stephanocoenia intercepta,480,39,0.13266699999999998,0.02763895833333333,2.1467700954166795
Plot E,2025-08-04,Unidentified coral,480,112,0.030351999999999997,0.006323333333333333,0.49114524287190525
Plot E,2025-09-08,Acropora cervicornis,480,9,0.046056999999999994,0.009595208333333332,0.7209819894607044
Plot E,2025-09-08,Acropora palmata,480,61,0.22112600000000007,0.04606791666666668,3.461533825509429
Plot E,2025-09-08,Agaricia agaricites,480,4,0.001778,3.704166666666667e-4,0.027833032487160098
Plot E,2025-09-08,Agaricia humilis,480,8,0.008138999999999999,0.0016956249999999996,0.12740891530539705
Plot E,2025-09-08,Agaricia sp.,480,19,0.007254,0.00151125,0.11355501555785115
Plot E,2025-09-08,Colpophyllia natans,480,1,6.889999999999999e-4,1.4354166666666665e-4,0.010785691441874749
Plot E,2025-09-08,Dendrogyra cylindrus,480,2,0.001895,3.9479166666666666e-4,0.029664564996157692
Plot E,2025-09-08,Diploria labyrinthiformis,480,7,0.020798999999999998,0.004333124999999999,0.3255901252533424
Plot E,2025-09-08,Eusmilia fastigiata,480,16,0.020742,0.00432125,0.32469784018485637
Plot E,2025-09-08,Favia fragum,480,90,0.022837999999999997,0.004757916666666666,0.3575088841067279
Plot E,2025-09-08,Madracis decactis,480,138,0.20349599999999998,0.042394999999999995,3.185551619239106
Plot E,2025-09-08,Madracis sp.,480,1,0.002338,4.870833333333333e-4,0.036599341931934926
Plot E,2025-09-08,Manicina areolata,480,1,0.002695,5.614583333333334e-4,0.04218786420297888
Plot E,2025-09-08,Meandrina meandrites,480,1,0.001604,3.3416666666666664e-4,0.025109214909676485
Plot E,2025-09-08,Montastrea cavernosa,480,87,0.589004,0.12270916666666666,9.220341657518135
Plot E,2025-09-08,Orbicella annularis,480,349,0.33305799999999963,0.06938708333333325,5.213731234031809
Plot E,2025-09-08,Orbicella faveolata,480,140,0.5815670000000004,0.12115979166666674,9.10392193726673
Plot E,2025-09-08,Orbicella franksi,480,211,1.399963,0.2916589583333334,21.915194409348768
Plot E,2025-09-08,Orbicella sp.,480,92,0.212972,0.04436916666666667,3.333890098343903
Plot E,2025-09-08,Porites astreoides,480,877,1.2977170000000007,0.27035770833333345,20.314622845972977
