summary_level,plot,time_label,month_order,month,interval_order,month_start,month_end,species,metric,value,units,n,denominator,ci_low,ci_high,notes
plot_interval,Plot E,May to June,NA,NA,1,May,June,NA,interval_survivorship,90.1639344262295,percent,55,61,79.81038081456299,96.30400051221481,Deaths: 6; births/new detections: 0
plot_interval,Plot E,June to July,NA,NA,2,June,July,NA,interval_survivorship,98.18181818181819,percent,54,55,90.28089842507467,99.95397821512043,Deaths: 1; births/new detections: 0
plot_interval,Plot E,July to August,NA,NA,3,July,August,NA,interval_survivorship,98.14814814814815,percent,53,54,90.10848404921488,99.9531261596182,Deaths: 1; births/new detections: 2
plot_interval,Plot E,August to September,NA,NA,4,August,September,NA,interval_survivorship,100,percent,55,55,93.51292391745754,100,Deaths: 0; births/new detections: 0
plot_interval,Plot E,September to October,NA,NA,5,September,October,NA,interval_survivorship,98.18181818181819,percent,54,55,90.28089842507467,99.95397821512043,Deaths: 1; births/new detections: 0
plot_interval,Plot E,October to November,NA,NA,6,October,November,NA,interval_survivorship,100,percent,54,54,93.39684857555783,100,Deaths: 0; births/new detections: 2
plot_month,Plot E,May,1,May,NA,NA,NA,NA,cumulative_deaths,0,count,0,61,NA,NA,Baseline month: May
plot_month,Plot E,June,2,June,NA,NA,NA,NA,cumulative_deaths,6,count,6,61,NA,NA,Baseline month: May
plot_month,Plot E,July,3,July,NA,NA,NA,NA,cumulative_deaths,7,count,7,61,NA,NA,Baseline month: May
plot_month,Plot E,August,4,August,NA,NA,NA,NA,cumulative_deaths,8,count,8,61,NA,NA,Baseline month: May
plot_month,Plot E,September,5,September,NA,NA,NA,NA,cumulative_deaths,8,count,8,61,NA,NA,Baseline month: May
plot_month,Plot E,October,6,October,NA,NA,NA,NA,cumulative_deaths,8,count,8,61,NA,NA,Baseline month: May
plot_month,Plot E,November,7,November,NA,NA,NA,NA,cumulative_deaths,8,count,8,61,NA,NA,Baseline month: May
plot_month,Plot E,May,1,May,NA,NA,NA,NA,cumulative_survivorship,100,percent,61,61,94.13187760677074,100,Baseline month: May
plot_month,Plot E,June,2,June,NA,NA,NA,NA,cumulative_survivorship,90.1639344262295,percent,55,61,79.81038081456299,96.30400051221481,Baseline month: May
plot_month,Plot E,July,3,July,NA,NA,NA,NA,cumulative_survivorship,88.52459016393442,percent,54,61,77.77507914635025,95.25977428535825,Baseline month: May
plot_month,Plot E,August,4,August,NA,NA,NA,NA,cumulative_survivorship,86.88524590163935,percent,53,61,75.78413113166378,94.16394941602594,Baseline month: May
plot_month,Plot E,September,5,September,NA,NA,NA,NA,cumulative_survivorship,86.88524590163935,percent,53,61,75.78413113166378,94.16394941602594,Baseline month: May
plot_month,Plot E,October,6,October,NA,NA,NA,NA,cumulative_survivorship,86.88524590163935,percent,53,61,75.78413113166378,94.16394941602594,Baseline month: May
plot_month,Plot E,November,7,November,NA,NA,NA,NA,cumulative_survivorship,86.88524590163935,percent,53,61,75.78413113166378,94.16394941602594,Baseline month: May
plot_month,Plot E,May,1,May,NA,NA,NA,NA,outplant_cover,0.012933802083333333,percent_of_plot,61,NA,NA,NA,Total area m2: 0.062082
