plot,plot_section,plot_section_label,month_order,month,survey_date,n_surviving_from_baseline,n_died_interval,baseline_surviving_area_m2,cumulative_deaths_observed,baseline_month,baseline_date,n_baseline,percent_cumulative_survival,percent_cumulative_survival_low,percent_cumulative_survival_high
Plot A,0-0,Plot A 0-0,2,April,2026-04-21,24,0,0.03245825000000001,0,April,2026-04-21,24,100,85.75264022774743,100
Plot A,0-0,Plot A 0-0,3,June,2026-06-22,24,0,0.03320725,0,April,2026-04-21,24,100,85.75264022774743,100
Plot A,0-0,Plot A 0-0,4,August,2026-08-12,24,0,0.044997999999999996,0,April,2026-04-21,24,100,85.75264022774743,100
Plot A,1-0,Plot A 1-0,2,April,2026-04-21,19,0,0.020928749999999996,0,April,2026-04-21,19,100,82.35330881930348,100
Plot A,1-0,Plot A 1-0,3,June,2026-06-22,19,0,0.022451999999999996,0,April,2026-04-21,19,100,82.35330881930348,100
Plot A,1-0,Plot A 1-0,4,August,2026-08-12,19,0,0.030498499999999998,0,April,2026-04-21,19,100,82.35330881930348,100
Plot B,0-0,Plot B 0-0,2,April,2026-04-22,22,0,0.029629750000000003,0,April,2026-04-22,22,100,84.56274871844255,100
Plot B,0-0,Plot B 0-0,3,June,2026-06-09,22,0,0.03165975,0,April,2026-04-22,22,100,84.56274871844255,100
Plot B,0-0,Plot B 0-0,4,August,2026-08-07,22,0,0.03692575,0,April,2026-04-22,22,100,84.56274871844255,100
Plot B,1-0,Plot B 1-0,2,April,2026-04-22,21,0,0.0265955,0,April,2026-04-22,21,100,83.89023847809204,100
Plot B,1-0,Plot B 1-0,3,June,2026-06-09,21,0,0.027780250000000003,0,April,2026-04-22,21,100,83.89023847809204,100
Plot B,1-0,Plot B 1-0,4,August,2026-08-07,21,0,0.03197875,0,April,2026-04-22,21,100,83.89023847809204,100
Plot C,0-0,Plot C 0-0,2,April,2026-04-03,289,0,0.19641650000000002,0,April,2026-04-03,289,100,98.73168292605334,100
Plot C,0-0,Plot C 0-0,3,June,2026-06-06,281,8,0.18333225,8,April,2026-04-03,289,97.2318339100346,94.61867828072397,98.7974861993746
Plot C,0-0,Plot C 0-0,4,August,2026-08-05,251,30,0.18100199999999997,38,April,2026-04-03,289,86.85121107266436,82.40157229379838,90.52439607631574
Plot C,1-0,Plot C 1-0,2,April,2026-04-03,250,0,0.16654650000000007,0,April,2026-04-03,250,100,98.53528113643196,100
Plot C,1-0,Plot C 1-0,3,June,2026-06-06,230,20,0.12632925000000003,20,April,2026-04-03,250,92,87.91496191700797,95.04502557816868
Plot C,1-0,Plot C 1-0,4,August,2026-08-05,224,6,0.11958674999999996,26,April,2026-04-03,250,89.6,85.13362721724562,93.09310906636073
Plot D,0-0,Plot D 0-0,2,April,2026-04-16,230,0,0.11264000000000007,0,April,2026-04-16,230,100,98.40893272522332,100
Plot D,0-0,Plot D 0-0,3,June,2026-06-08,197,33,0.09694649999999998,33,April,2026-04-16,230,85.65217391304348,80.44438799324561,89.91334000553242
Plot D,0-1,Plot D 0-1,2,April,2026-04-16,1,0,0.0012805,0,April,2026-04-16,1,100,2.500000000000002,100
Plot D,0-1,Plot D 0-1,3,June,2026-06-08,1,0,0.00145775,0,April,2026-04-16,1,100,2.500000000000002,100
Plot D,1-0,Plot D 1-0,2,April,2026-04-16,84,0,0.10832700000000005,0,April,2026-04-16,84,100,95.70350803704349,100
Plot D,1-0,Plot D 1-0,3,June,2026-06-08,84,0,0.11496950000000002,0,April,2026-04-16,84,100,95.70350803704349,100
Plot E,0-0,Plot E 0-0,1,May,2025-05-07,98,0,0.1384815,0,May,2025-05-07,98,100,96.30580129648071,100
Plot E,0-0,Plot E 0-0,2,June,2025-06-09,94,4,0.14855775000000002,4,May,2025-05-07,98,95.91836734693878,89.87821811112336,98.87686824398149
Plot E,0-0,Plot E 0-0,3,July,2025-07-11,89,5,0.15305349999999993,9,May,2025-05-07,98,90.81632653061224,83.28133504122911,95.71416325975936
