plot,plot_section,plot_section_label,interval_order,month_start,month_end,species,n_start,n_survived,n_died,percent_survival,percent_survival_low,percent_survival_high,interval_label
Plot A,0-0,Plot A 0-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot A,0-0,Plot A 0-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot A,0-0,Plot A 0-0,2,April,June,Orbicella annularis,12,12,0,100,73.53515306029489,100,April to June
Plot A,0-0,Plot A 0-0,2,April,June,Porites porites,12,12,0,100,73.53515306029489,100,April to June
Plot A,0-0,Plot A 0-0,3,June,August,Orbicella annularis,12,12,0,100,73.53515306029489,100,June to August
Plot A,0-0,Plot A 0-0,3,June,August,Porites porites,12,12,0,100,73.53515306029489,100,June to August
Plot A,1-0,Plot A 1-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot A,1-0,Plot A 1-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot A,1-0,Plot A 1-0,2,April,June,Orbicella annularis,7,7,0,100,59.038360277499656,100,April to June
Plot A,1-0,Plot A 1-0,2,April,June,Porites porites,12,12,0,100,73.53515306029489,100,April to June
Plot A,1-0,Plot A 1-0,3,June,August,Orbicella annularis,7,7,0,100,59.038360277499656,100,June to August
Plot A,1-0,Plot A 1-0,3,June,August,Porites porites,12,12,0,100,73.53515306029489,100,June to August
Plot B,0-0,Plot B 0-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot B,0-0,Plot B 0-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot B,0-0,Plot B 0-0,2,April,June,Montastraea cavernosa,0,0,0,NA,NA,NA,April to June
Plot B,0-0,Plot B 0-0,2,April,June,Orbicella annularis,12,12,0,100,73.53515306029489,100,April to June
Plot B,0-0,Plot B 0-0,2,April,June,Porites porites,10,10,0,100,69.15028921812392,100,April to June
Plot B,0-0,Plot B 0-0,2,April,June,Pseudodiploria strigosa,0,0,0,NA,NA,NA,April to June
Plot B,0-0,Plot B 0-0,3,June,August,Montastraea cavernosa,23,23,0,100,85.18148710847757,100,June to August
Plot B,0-0,Plot B 0-0,3,June,August,Orbicella annularis,17,17,0,100,80.49356770309069,100,June to August
Plot B,0-0,Plot B 0-0,3,June,August,Porites porites,13,13,0,100,75.29473619995291,100,June to August
Plot B,0-0,Plot B 0-0,3,June,August,Pseudodiploria strigosa,1,1,0,100,2.500000000000002,100,June to August
Plot B,1-0,Plot B 1-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot B,1-0,Plot B 1-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot B,1-0,Plot B 1-0,2,April,June,Orbicella annularis,7,7,0,100,59.038360277499656,100,April to June
