plot,plot_section,plot_section_label,interval_order,month_start,month_end,n_start,n_survived,n_died,n_born,percent_survival,percent_survival_low,percent_survival_high,interval_label
Plot A,0-0,Plot A 0-0,1,November,April,0,0,0,24,NA,NA,NA,November to April
Plot A,0-0,Plot A 0-0,2,April,June,24,0,24,0,0,0,14.247359772252565,April to June
Plot A,0-0,Plot A 0-0,3,June,August,24,24,0,0,100,85.75264022774743,100,June to August
Plot A,1-0,Plot A 1-0,1,November,April,0,0,0,19,NA,NA,NA,November to April
Plot A,1-0,Plot A 1-0,2,April,June,19,19,0,0,100,82.35330881930348,100,April to June
Plot A,1-0,Plot A 1-0,3,June,August,19,19,0,0,100,82.35330881930348,100,June to August
Plot B,0-0,Plot B 0-0,1,November,April,0,0,0,22,NA,NA,NA,November to April
Plot B,0-0,Plot B 0-0,2,April,June,22,22,0,32,100,84.56274871844255,100,April to June
Plot B,0-0,Plot B 0-0,3,June,August,54,54,0,0,100,93.39684857555783,100,June to August
Plot B,1-0,Plot B 1-0,1,November,April,0,0,0,21,NA,NA,NA,November to April
Plot B,1-0,Plot B 1-0,2,April,June,21,21,0,0,100,83.89023847809204,100,April to June
Plot B,1-0,Plot B 1-0,3,June,August,21,21,0,0,100,83.89023847809204,100,June to August
Plot C,0-0,Plot C 0-0,1,November,April,0,0,0,289,NA,NA,NA,November to April
Plot C,0-0,Plot C 0-0,2,April,June,286,284,2,0,99.3006993006993,97.49685418992196,99.91519896066914,April to June
Plot C,0-0,Plot C 0-0,3,June,August,282,259,23,0,91.84397163120568,88.0132413296555,94.75962454331737,June to August
Plot C,1-0,Plot C 1-0,1,November,April,0,0,0,250,NA,NA,NA,November to April
Plot C,1-0,Plot C 1-0,2,April,June,234,230,4,1,98.2905982905983,95.68132964607122,99.53233109072774,April to June
Plot C,1-0,Plot C 1-0,3,June,August,244,239,5,0,97.95081967213115,95.28295027449757,99.3313686536878,June to August
Plot D,0-0,Plot D 0-0,1,November,April,0,0,0,230,NA,NA,NA,November to April
Plot D,0-0,Plot D 0-0,2,April,June,230,197,33,0,85.65217391304348,80.44438799324561,89.91334000553242,April to June
Plot D,0-1,Plot D 0-1,1,November,April,0,0,0,1,NA,NA,NA,November to April
Plot D,0-1,Plot D 0-1,2,April,June,1,1,0,0,100,2.500000000000002,100,April to June
Plot D,1-0,Plot D 1-0,1,November,April,0,0,0,84,NA,NA,NA,November to April
Plot D,1-0,Plot D 1-0,2,April,June,84,84,0,0,100,95.70350803704349,100,April to June
Plot E,0-0,Plot E 0-0,1,May,June,98,94,4,0,95.91836734693878,89.87821811112336,98.87686824398149,May to June
Plot E,0-0,Plot E 0-0,2,June,July,99,94,5,0,94.94949494949495,88.60641822085104,98.34000886701565,June to July
Plot E,0-0,Plot E 0-0,3,July,August,93,91,2,0,97.84946236559139,92.44670279474917,99.7384905302867,July to August
Plot E,0-0,Plot E 0-0,4,August,September,91,88,3,0,96.7032967032967,90.66675719943564,99.314911368912135,August to September
Plot E,0-0,Plot E 0-0,5,September,October,87,87,0,0,100,95.84854340073622,100,September to October
Plot E,0-0,Plot E 0-0,6,October,November,87,85,2,0,97.70114942528735,91.94141341632303,99.72037589615068,October to November
Plot E,0-0,Plot E 0-0,7,November,December,86,78,8,1,90.69767441860465,82.49107859703176,95.89781407261813,November to December
Plot E,0-0,Plot E 0-0,8,December,January,76,73,3,1,96.05263157894737,88.89466808740366,99.17844078194055,December to January
