plot,plot_section,plot_section_label,shared_month_order,shared_month,previous_end_n,next_start_n,in_both_snapshots,missing_from_next_start,new_in_next_start,species_mismatches,area_mismatches,max_abs_area_difference
Plot A,0-0,Plot A 0-0,2,April,24,24,24,0,0,0,0,0
Plot A,1-0,Plot A 1-0,2,April,19,19,19,0,0,0,0,0
Plot A,1-0,Plot A 1-0,3,June,19,19,19,0,0,0,0,0
Plot B,0-0,Plot B 0-0,2,April,22,22,22,0,0,0,0,0
Plot B,0-0,Plot B 0-0,3,June,54,54,54,0,0,0,0,0
Plot B,1-0,Plot B 1-0,2,April,21,21,21,0,0,0,0,0
Plot B,1-0,Plot B 1-0,3,June,21,21,21,0,0,0,0,0
Plot C,0-0,Plot C 0-0,2,April,289,286,283,6,3,0,1,10.325
Plot C,0-0,Plot C 0-0,3,June,284,282,277,7,5,0,1,7.515000000000001
Plot C,1-0,Plot C 1-0,2,April,250,234,234,16,0,0,0,0
Plot C,1-0,Plot C 1-0,3,June,231,244,230,1,14,0,0,0
Plot D,0-0,Plot D 0-0,2,April,230,230,230,0,0,0,0,0
Plot D,0-1,Plot D 0-1,2,April,1,1,1,0,0,0,0,0
Plot D,1-0,Plot D 1-0,2,April,84,84,84,0,0,0,0,0
Plot E,0-0,Plot E 0-0,2,June,94,99,94,0,5,0,3,8.2975
Plot E,0-0,Plot E 0-0,3,July,94,93,93,1,0,2,0,0
Plot E,0-0,Plot E 0-0,4,August,91,91,91,0,0,2,0,0
Plot E,0-0,Plot E 0-0,5,September,88,87,87,1,0,0,0,0
Plot E,0-0,Plot E 0-0,6,October,87,87,87,0,0,0,0,0
Plot E,0-0,Plot E 0-0,7,November,85,86,85,0,1,0,0,0
Plot E,0-0,Plot E 0-0,8,December,79,76,76,3,0,0,0,0
Plot E,0-0,Plot E 0-0,9,January,74,73,73,1,0,0,0,0
Plot E,0-0,Plot E 0-0,10,February,68,64,64,4,0,1,0,0
Plot E,0-0,Plot E 0-0,11,March,60,58,58,2,0,0,0,0
Plot E,0-0,Plot E 0-0,12,April,334,334,334,0,0,1,0,0
Plot E,0-1,Plot E 0-1,2,June,120,120,120,0,0,1,0,0
Plot E,0-1,Plot E 0-1,3,July,112,112,112,0,0,0,0,0
Plot E,0-1,Plot E 0-1,4,August,109,109,109,0,0,0,0,0
Plot E,0-1,Plot E 0-1,5,September,107,97,97,10,0,0,0,0
Plot E,0-1,Plot E 0-1,6,October,97,97,97,0,0,0,0,0
Plot E,0-1,Plot E 0-1,7,November,97,97,97,0,0,0,0,0
Plot E,0-1,Plot E 0-1,8,December,95,95,95,0,0,1,0,0
Plot E,0-1,Plot E 0-1,9,January,95,95,95,0,0,0,0,0
Plot E,0-1,Plot E 0-1,10,February,93,90,90,3,0,0,0,0
Plot E,0-1,Plot E 0-1,11,March,78,78,78,0,0,0,0,0
Plot E,0-1,Plot E 0-1,12,April,235,235,235,0,0,0,0,0
Plot E,1-0,Plot E 1-0,2,June,138,133,133,5,0,0,0,0
Plot E,1-0,Plot E 1-0,3,July,122,122,122,0,0,0,1,0.5024999999999995
Plot E,1-0,Plot E 1-0,4,August,119,117,117,2,0,0,0,0
Plot E,1-0,Plot E 1-0,5,September,109,110,109,0,1,0,0,0
Plot E,1-0,Plot E 1-0,6,October,109,109,109,0,0,0,0,0
Plot E,1-0,Plot E 1-0,7,November,111,111,111,0,0,0,0,0
Plot E,1-0,Plot E 1-0,8,December,105,105,105,0,0,0,0,0
Plot E,1-1,Plot E 1-1,2,June,52,52,52,0,0,0,0,0
Plot E,1-1,Plot E 1-1,3,July,51,51,51,0,0,0,0,0
Plot E,1-1,Plot E 1-1,4,August,52,52,52,0,0,0,0,0
Plot E,1-1,Plot E 1-1,5,September,52,52,52,0,0,0,0,0
Plot E,1-1,Plot E 1-1,6,October,51,51,51,0,0,0,0,0
Plot E,1-1,Plot E 1-1,7,November,53,53,53,0,0,0,0,0
Plot E,1-1,Plot E 1-1,8,December,53,53,53,0,0,0,0,0
Plot G,0-0,Plot G 0-0,2,April,21,21,21,0,0,0,0,0
Plot G,0-0,Plot G 0-0,3,May,21,21,21,0,0,0,0,0
Plot G,0-1,Plot G 0-1,2,April,3,3,3,0,0,0,0,0
Plot G,0-1,Plot G 0-1,3,May,3,3,3,0,0,0,0,0
Plot G,1-0,Plot G 1-0,2,April,21,21,21,0,0,0,0,0
Plot G,1-0,Plot G 1-0,3,May,21,20,20,1,0,0,0,0
Plot H,0-0,Plot H 0-0,2,April,8,8,8,0,0,0,0,0
Plot H,0-0,Plot H 0-0,3,May,8,8,8,0,0,0,0,0
Plot H,0-1,Plot H 0-1,2,April,3,3,3,0,0,0,0,0
Plot H,0-1,Plot H 0-1,3,May,3,3,3,0,0,0,0,0
Plot H,1-0,Plot H 1-0,2,April,27,30,27,0,3,0,0,0
Plot H,1-0,Plot H 1-0,3,May,30,31,30,0,1,0,0,0
