plot,plot_section_label,survey_date,species,n_outplants,total_outplant_area_m2
Plot A,Plot A,2026-04-21,Orbicella annularis,19,0.0338965
Plot A,Plot A,2026-04-21,Porites porites,24,0.019490499999999994
Plot A,Plot A,2026-06-22,Orbicella annularis,19,0.035422249999999995
Plot A,Plot A,2026-06-22,Porites porites,24,0.020237
Plot A,Plot A,2026-08-12,Orbicella annularis,19,0.047463
Plot A,Plot A,2026-08-12,Porites porites,24,0.0280335
Plot B,Plot B,2026-04-22,Orbicella annularis,19,0.035743
Plot B,Plot B,2026-04-22,Porites porites,24,0.02048225
Plot B,Plot B,2026-06-09,Montastraea cavernosa,23,0.012735249999999998
Plot B,Plot B,2026-06-09,Orbicella annularis,24,0.043492499999999996
Plot B,Plot B,2026-06-09,Porites porites,27,0.0237975
Plot B,Plot B,2026-06-09,Pseudodiploria strigosa,1,4.085e-4
Plot B,Plot B,2026-08-07,Montastraea cavernosa,23,0.013859
Plot B,Plot B,2026-08-07,Orbicella annularis,24,0.048998
Plot B,Plot B,2026-08-07,Porites porites,27,0.029134
Plot B,Plot B,2026-08-07,Pseudodiploria strigosa,1,7.217500000000001e-4
Plot C,Plot C,2026-04-03,Montastraea cavernosa,169,0.07703674999999999
Plot C,Plot C,2026-04-03,Orbicella annularis,43,0.04719125000000002
Plot C,Plot C,2026-04-03,Orbicella faveolata,16,0.04134425
Plot C,Plot C,2026-04-03,Orbicella franksi,121,0.085694
Plot C,Plot C,2026-04-03,Porites porites,189,0.1116735
Plot C,Plot C,2026-04-03,Unidentified coral,1,2.3250000000000003e-5
Plot C,Plot C,2026-06-06,Montastraea cavernosa,167,0.06463424999999995
Plot C,Plot C,2026-06-06,Orbicella annularis,42,0.05079824999999998
Plot C,Plot C,2026-06-06,Orbicella faveolata,14,0.04619775
Plot C,Plot C,2026-06-06,Orbicella franksi,115,0.06854475
Plot C,Plot C,2026-06-06,Porites porites,177,0.083498
Plot C,Plot C,2026-08-05,Montastraea cavernosa,165,0.06392724999999999
Plot C,Plot C,2026-08-05,Orbicella annularis,38,0.049677999999999986
Plot C,Plot C,2026-08-05,Orbicella faveolata,15,0.0499665
Plot C,Plot C,2026-08-05,Orbicella franksi,120,0.08389049999999998
Plot C,Plot C,2026-08-05,Porites porites,160,0.08029725
Plot D,Plot D,2026-04-16,Montastraea cavernosa,47,0.013720500000000002
Plot D,Plot D,2026-04-16,Orbicella annularis,65,0.08637750000000001
Plot D,Plot D,2026-04-16,Orbicella franksi,11,0.025412000000000004
Plot D,Plot D,2026-04-16,Porites porites,190,0.0950575
Plot D,Plot D,2026-04-16,Unidentified coral,2,0.00168
Plot D,Plot D,2026-06-08,Montastraea cavernosa,47,0.013592999999999997
Plot D,Plot D,2026-06-08,Orbicella annularis,65,0.09173950000000003
Plot D,Plot D,2026-06-08,Orbicella franksi,11,0.025511500000000003
Plot D,Plot D,2026-06-08,Porites porites,157,0.08064450000000001
Plot D,Plot D,2026-06-08,Unidentified coral,2,0.0018852500000000002
Plot E,Plot E,2025-05-07,Acropora cervicornis,13,0.025159
Plot E,Plot E,2025-05-07,Acropora palmata,89,0.24581700000000004
Plot E,Plot E,2025-05-07,Orbicella annularis,238,0.20441125000000004
Plot E,Plot E,2025-05-07,Orbicella faveolata,56,0.09178700000000001
Plot E,Plot E,2025-05-07,Orbicella franksi,44,0.056356250000000004
Plot E,Plot E,2025-05-07,Orbicella sp.,2,5.015e-4
Plot E,Plot E,2025-05-07,Unidentified coral,1,0.0020735
Plot E,Plot E,2025-06-09,Acropora cervicornis,11,0.029395
Plot E,Plot E,2025-06-09,Acropora palmata,59,0.20744524999999994
Plot E,Plot E,2025-06-09,Orbicella annularis,232,0.21639724999999987
Plot E,Plot E,2025-06-09,Orbicella faveolata,55,0.0972025
Plot E,Plot E,2025-06-09,Orbicella franksi,44,0.06260075
Plot E,Plot E,2025-06-09,Orbicella sp.,2,5.895e-4
Plot E,Plot E,2025-06-09,Unidentified coral,1,0.00111475
Plot E,Plot E,2025-07-11,Acropora cervicornis,11,0.041344250000000006
Plot E,Plot E,2025-07-11,Acropora palmata,51,0.19023750000000003
Plot E,Plot E,2025-07-11,Orbicella annularis,221,0.20569749999999987
Plot E,Plot E,2025-07-11,Orbicella faveolata,50,0.10103749999999999
Plot E,Plot E,2025-07-11,Orbicella franksi,44,0.06665499999999999
Plot E,Plot E,2025-07-11,Orbicella sp.,2,5.8975e-4
Plot E,Plot E,2025-08-04,Acropora cervicornis,11,0.040438499999999995
Plot E,Plot E,2025-08-04,Acropora palmata,44,0.21121574999999995
Plot E,Plot E,2025-08-04,Empty,1,0.002772
Plot E,Plot E,2025-08-04,Orbicella annularis,216,0.19525250000000002
Plot E,Plot E,2025-08-04,Orbicella faveolata,51,0.11122149999999999
Plot E,Plot E,2025-08-04,Orbicella franksi,44,0.06598624999999997
Plot E,Plot E,2025-08-04,Orbicella sp.,4,0.0013304999999999999
Plot E,Plot E,2025-09-08,Acropora cervicornis,9,0.046058499999999995
Plot E,Plot E,2025-09-08,Acropora palmata,41,0.221754
Plot E,Plot E,2025-09-08,Orbicella annularis,209,0.21519225000000003
Plot E,Plot E,2025-09-08,Orbicella faveolata,49,0.10768774999999998
Plot E,Plot E,2025-09-08,Orbicella franksi,44,0.06878525000000003
