plot,plot_section,plot_section_label,month_order,month,species,n_outplants,percent_prevalence,total_outplant_area_m2,percent_cover_within_outplants,mean_depth_ft,min_depth_ft,max_depth_ft,depth_range_ft,mean_depth_m,min_depth_m,max_depth_m,depth_range_m
Plot A,all,Plot A,2,April,Orbicella annularis,19,44.18604651162791,0.0338965,63.49204862607003,40.25,30,51,21,12.2682,9.144,15.5448,6.4008
Plot A,all,Plot A,2,April,Porites porites,24,55.81395348837209,0.019490499999999994,36.50795137392997,40.25,30,51,21,12.2682,9.144,15.5448,6.4008
Plot A,all,Plot A,3,June,Orbicella annularis,19,44.18604651162791,0.035422249999999995,63.64126358152509,40.25,30,51,21,12.2682,9.144,15.5448,6.4008
Plot A,all,Plot A,3,June,Porites porites,24,55.81395348837209,0.020237,36.358736418474926,40.25,30,51,21,12.2682,9.144,15.5448,6.4008
Plot A,all,Plot A,4,August,Orbicella annularis,19,44.18604651162791,0.047463,62.8678150642745,40.25,30,51,21,12.2682,9.144,15.5448,6.4008
Plot A,all,Plot A,4,August,Porites porites,24,55.81395348837209,0.0280335,37.1321849357255,40.25,30,51,21,12.2682,9.144,15.5448,6.4008
Plot B,all,Plot B,2,April,Orbicella annularis,19,44.18604651162791,0.035743,63.57108238736154,37.75,25,51,26,11.5062,7.62,15.5448,7.9248
Plot B,all,Plot B,2,April,Porites porites,24,55.81395348837209,0.02048225,36.42891761263845,37.75,25,51,26,11.5062,7.62,15.5448,7.9248
Plot B,all,Plot B,3,June,Montastraea cavernosa,23,30.666666666666668,0.012735249999999998,15.833216777782956,37.75,25,51,26,11.5062,7.62,15.5448,7.9248
Plot B,all,Plot B,3,June,Orbicella annularis,24,32,0.043492499999999996,54.07245093011329,37.75,25,51,26,11.5062,7.62,15.5448,7.9248
Plot B,all,Plot B,3,June,Porites porites,27,36,0.0237975,29.586460907268407,37.75,25,51,26,11.5062,7.62,15.5448,7.9248
Plot B,all,Plot B,3,June,Pseudodiploria strigosa,1,1.3333333333333333,4.085e-4,0.5078713848353459,37.75,25,51,26,11.5062,7.62,15.5448,7.9248
Plot B,all,Plot B,4,August,Montastraea cavernosa,23,30.666666666666668,0.013859,14.948321563107557,37.75,25,51,26,11.5062,7.62,15.5448,7.9248
