plot,plot_section,plot_section_label,source_file,month_start,month_end,genet,tag,genotype,species,action,area_start,area_end
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260409_20260504.csv,April,May,1,NA,NA,Orbicella faveolata,same,111.0325,108.2075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260409_20260504.csv,April,May,1,NA,NA,Orbicella annularis,shrink,23.73,22.18
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,1,NA,NA,Orbicella annularis,grow,3.6,4.4875
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,1,NA,NA,Orbicella annularis,grow,2.66,3.9275
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,1,NA,NA,Orbicella faveolata,grow,17.3125,18.6825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,1,NA,NA,Orbicella faveolata,same,15.5825,16.0525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,1,NA,NA,Orbicella faveolata,same,53.1375,55.6
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251204_20260120.csv,December,January,1,NA,NA,Orbicella annularis,grow,12,13.625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251204_20260120.csv,December,January,1,NA,NA,Orbicella faveolata,same,104.1525,102.69
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260216_20260325.csv,February,March,1,NA,NA,Orbicella annularis,grow,16.1725,18.525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260216_20260325.csv,February,March,1,NA,NA,Orbicella faveolata,same,103.4475,104.4725
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260120_20260216.csv,January,February,1,NA,NA,Orbicella annularis,grow,13.625,16.1725
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260120_20260216.csv,January,February,1,NA,NA,Orbicella faveolata,same,102.69,103.4475
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,1,NA,NA,Orbicella faveolata,grow,16.415,17.3125
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,1,NA,NA,Orbicella faveolata,n/s,8.8175,15.5825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,1,NA,NA,Orbicella faveolata,n/s,6.5925,15.5825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,1,NA,NA,Orbicella faveolata,n/s,43.0925,53.1375
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,1,NA,NA,Orbicella faveolata,n/s,7.7025,53.1375
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,1,NA,NA,Orbicella annularis,same,3.6275,3.6
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,1,NA,NA,Orbicella annularis,shrink,3.335,2.66
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella annularis,grow,2.6225,3.6275
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,grow,3.14,3.335
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,grow,15.105,16.415
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,grow,8.2975,8.8175
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,grow,5.745,6.5925
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,n/s,26.63,43.0925
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,n/s,6.9625,43.0925
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,n/s,7.5375,43.0925
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,1,NA,NA,Orbicella faveolata,same,7.84,7.7025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260325_20260409.csv,March,April,1,NA,NA,Orbicella annularis,grow,18.525,23.73
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260325_20260409.csv,March,April,1,NA,NA,Orbicella faveolata,grow,104.4725,111.0325
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella annularis,grow,2.3825,2.6225
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,n/s,7.25,15.105
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,n/s,6.3775,15.105
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,n/s,8.92,26.63
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,n/s,8.725,26.63
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,n/s,7.38,26.63
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,n/s,5.47,3.14
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,n/s,5.47,5.745
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,same,7.17,6.9625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,same,7.43,7.5375
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,1,NA,NA,Orbicella faveolata,same,7.545,7.84
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,1,NA,NA,Orbicella annularis,n/s,4.7975,12
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,1,NA,NA,Orbicella annularis,n/s,5.1125,12
